"","NF48_NF54","NF54_NF59","NF59_NF66"
"ptf1a.L",910.7289198771,989.77495764183,1018.19941018447
"gata6.S",6.97390807322925,0,0
"gata4.L",4.71062385604054,0.515290923437994,0.399006200662349
"nme2.L",4.47823142554605,2.52452579802374,3.75492095467579
"tcf25.L",1.79204950917563,0.205240504117278,0.0987793062159989
"jun.L",1.74569933681492,1.27211961620542,1.71658701758012
"atf5.L",1.6877773493497,0.570668984956957,3.20742245642725
"atf4.L",1.64086577188181,0.575928908765742,0.855631746761899
"fos.S",1.63137307041082,0.812061283956712,1.39596695976817
"atf4.S",1.46465228043428,0.558415353574372,1.02017515882387
"hmgb2.S",1.43380274826076,0.354388482889952,0.51264942903356
"jun.S",1.34740696547238,0.339339780448536,0.296328406143263
"junb.L",1.28863056758239,0.516858341246189,0.894666053933308
"klf9.L",1.27818019989199,0,0
"cebpa.S",1.21108732603874,0.390013486762935,0
"prox1.S",1.1482431691421,0,0
"khsrp.S",1.13664680935265,0,0
"irf1.L",0.98533899445528,1.11441465040287,0.872968741260091
"egr1.S",0.441146021677828,0.220334739445643,1.36894559509172
"paxbp1.S",0.335667836586407,1.90123864456617,0.684531459617631
"znf609.S",0.280749331877163,2.03125672445352,0
"irf2.L",0.273623015639745,1.35281711160244,1.99030473798056
"znf653.L",0.265242747572859,0.802463749044532,2.98738304821171
"rbpj.L",0.222141370104199,0.6032606169537,1.59607274822192
"tfb1m.L",0.212425248328015,0.190744546324407,1.52749511851908
"cnbp.S",0.178783898470428,0.0852876671995986,1.33649982732956
"dnajc1.S",0.123947423416478,0.0690700448591374,2.3637342834262
"nfkb1.S",0,1.23364894829421,0
"thap7.L",0,2.729477670442,0.512476715534039
"znf609.L",0,1.9342828167419,0
"bhlhe40.S",0,0,1.44018956721659
"foxa2.L",0,0,1.74465840204001
"mnx1.L",0,0,1.92234587217828
"myc.S",0,0,2.1376501178595
"nr1i2.L",0,0,1.29037728572394
"tgif1.L",0,0,1.51669938369853
