"","NF48_NF59","NF59_NF66"
"gata2.S",437.584827144196,277.587980516728
"gata2.L",258.717757960348,177.977897677285
"spib.L",54.8986609077121,167.255618406831
"id2.L",29.477330156308,40.4610888259012
"gata1.L",25.6560240958446,9.87312157407897
"tal1.L",24.5814140392474,13.526250399929
"plek.L",20.668943625675,37.9060273316252
"ikzf3.L",20.2462236117625,3.63796896495623
"id2.S",16.6846595170772,18.9494038791825
"tal1.S",14.7384181634031,12.281199986542
"hes1.S",12.4059732438208,7.40943187552784
"mitf.S",8.65937582482786,4.41502596729423
"hes1.L",7.95446641535232,4.26973324800199
"gata1.S",5.6154331066758,0.258188910717078
"ikzf3.S",5.60947797229179,0.779923334023948
"elf1.L",5.13526853488079,2.83545359065092
"atf4.L",4.3723354644198,3.84455823527741
"atf4.S",3.91135348988139,3.12319786143643
"tsc22d3.L",3.56824113005987,5.41984948654845
"jund.L",3.11735304967679,0.605759095142906
"hif1a.L",2.84400007144236,5.786827126113
"runx1.L",2.61670726088825,0.264549209009424
"nr1d1.L",2.39838575007268,2.2692818009978
"myc.S",2.28954866070146,2.23311555002329
"hhex.L",2.20913682367285,1.11252730009277
"hes4.S",2.06414820478654,0.298075837644561
"elf1.S",1.94880545901708,0.237925847595073
"lyl1.S",1.76225912658647,1.91798117681763
"litaf.S",1.72921340962832,1.64945614865608
"stat1.L",1.53670055835249,1.04538410333754
"nr4a2.S",1.52389888763357,4.2812997968807
"klf2.S",1.46494028019741,2.09578762056307
"nr4a2.L",1.43277492986393,1.53114275163392
"klf2.L",1.3166865359306,0.815538115511955
"zbtb18.L",1.29385547590036,0.0259731846290313
"tax1bp1.L",1.2897383226315,2.29779836312082
"tef.L",1.23491939334488,5.62287962000865
"znf710.L",1.20905888956033,1.6387814780908
"nr1d1.S",1.16855043754555,2.17477668561926
"jarid2.L",1.15487325330693,0.281476241904225
"rxra.S",1.12428695786955,6.23762168466866
"fos.L",1.11444398826478,1.12979649591797
"bcl6.S",1.10650550129404,2.50215835404886
"hhex.S",1.10113942507391,1.69903885390129
"gfi1b.L",1.0631173791537,0.155077177030354
"nfe2l1.S",0.77938635162559,1.52370627939033
"ddit3.L",0.752017527888289,1.79380818759596
"mlx.S",0.742659649215588,0.920518723744108
"sfpq.S",0.678999585101096,0.89529573604824
"spib.S",0.661251063242322,6.33536725386427
"mlx.L",0.652539458110565,1.35721217793668
"hmgb2.S",0.61903007784831,0.400500863601923
"bhlhe40.L",0.609914865662485,0.498847830873428
"gata3.L",0.607173908182284,46.5528079079894
"cbfb.L",0.603161103885282,0.504054585778755
"nfe2l2.L",0.562351298495832,0.951723484094182
"ssrp1.S",0.559872170388282,0.493168641406083
"hes4.L",0.529228520510543,1.49073281573491
"lrrfip2.L",0.496569040582807,0.240134940696628
"etv3.S",0.475223580570085,2.08331341202855
"junb.L",0.472700933932574,0.376450113833807
"nme2.L",0.443160701266208,0.0352258101400838
"arid2.L",0.364098424033545,1.04980970848375
"cebpz.L",0.358431690633055,3.7130185926437
"purb.S",0.343687371266653,0.185291657970809
"zmiz2.S",0.321305885393105,0.426153426540745
"myef2.L",0.308412355207514,0.180970308631011
"nfatc3.S",0.306020001746164,1.24704384490266
"blzf1.S",0.294483814782095,1.88327905051886
"tef.S",0.290733954410582,0.650503865755297
"klf10.S",0.285353140975532,0.143727596357444
"rxra.L",0.259900125669799,3.11464386446417
"cnbp.S",0.252149199169918,0.0777286709856856
"rel.S",0.230622030003129,2.81744426937994
"junb.S",0.230091559184236,0.672765370989546
"fos.S",0.215857367316684,0.216242119856227
"bcl6.L",0.19348146651978,1.03016510891637
"smarce1.S",0.173491872413611,0.298666980042833
"gata3.S",0.161231582567321,5.43839623018839
"stat2.S",0.117298581324177,1.52558457936531
"nfyc.S",0.113982839659832,0.524212388678817
"foxr1.L",0.103006184632126,0.172861986314204
"rlf.L",0.0978226076954669,1.3519722428275
"rara.S",0.0966538051468964,2.98015169211836
"jun.L",0.0860076501442019,0.232375246297251
"znf608.L",0.0850020319930429,0.584871046489341
"egr1.L",0.0777973505032407,0.0739249006373406
"zfp36.S",0.0733710530055618,0.5398091423717
"purb.L",0.0682159923715133,0.0263782381545103
"jun.S",0.0658752764165682,0.138888325377863
"irf1.L",0.0424272189506361,0.0317071364583059
"fosl1.L",0.0418109820914178,0.0163293936888577
"nr1i2.S",0.0369823454513928,0.0153624779427786
"tcf25.L",0.036532423536838,0.0536374769708615
"bhlhe40.S",0.0348364707185441,0.123756545816584
"pura.L",0.0329158658980122,0.0108661881068459
"cux1.S",0.0325417479581524,0.0873334117688231
"tfe3.S",0.0264635775871173,0.0921375463307985
"max.L",0.0237330376047604,0.243592895310366
"foxk2.L",0.0198143108124632,0.0431475336717319
"rfxank.S",0.018222935821043,0.0577913619763494
"phb.L",0.010272704560003,0.0895154133825316
"nr1h2.L",0.0079672417439005,0.000393099083755217
"phb.S",0.000633787152275923,0
"atf3.L",0,0.00723551876839752
"atf3.S",0,0
"cdip1.L",0,0.0826259142813553
"cebpd.L",0,0
"cebpd.S",0,0
"csde1.L",0,0
"cux1.L",0,0.0361881461487653
"cux2.L",0,0
"epas1.L",0,0
"erf.L",0,0
"esr2.L",0,0
"ets2.L",0,0
"ets2.S",0,0
"etv6.S",0,0
"fosl1.S",0,0
"fosl2.L",0,0.0511932769027742
"fosl2.S",0,0
"foxk2.S",0,0
"hmg20b.L",0,0
"hmgb3.L",0,0
"hnf1b.L",0,0
"hnf1b.S",0,0
"hoxd3.S",0,0
"hoxd4.L",0,0
"klf12.L",0,0
"klf12.S",0,0
"klf15.L",0,0
"klf15.S",0,0
"lhx1.S",0,0
"maf.L",0,0
"nfib.L",0,0
"nfkb2.L",0,0.00989873680203969
"nfkb2.S",0,0
"pax2.L",0,0
"pax2.S",0,0
"pax8.L",0,0
"pax8.S",0,0
"sall1.L",0,0
"tfec.L",0,0
"tgif1.L",0,0
"tgif1.S",0,0
"tmf1.L",0,0.299725105646336
"zbtb38.S",0,0
"zbtb47.L",0,0
"zfp91.L",0,0.13112833920518
"znf608.S",0,0
