"","NF54_NF59","NF59_NF66"
"phb.S",91.5759685777057,84.7987504274513
"tbx20.L",65.4663751566583,65.0270411510826
"purb.S",37.5516490685556,40.250063805927
"hand2.L",27.9737158245556,50.6148942877408
"hopx.L",23.9313046142523,102.590572297867
"nme2.L",18.562786468941,21.1521189766627
"gata5.S",14.0959411044782,14.734613419834
"znf33a.L",13.3207659431302,4.14819307261922
"atf5.L",13.0556670447234,14.2196286721424
"phb.L",12.8612261286486,23.6183108939793
"prox1.L",10.8022929324405,11.1911281217006
"atf4.L",8.39679126634528,12.1706622118301
"foxk2.S",8.31055838087816,5.80253918823955
"gata6.S",7.90712850433698,14.3686439350974
"dnajc21.L",7.81988689303974,11.4433247629941
"smarce1.S",7.04859810934788,6.43386428641068
"tcf25.L",6.25599055635652,9.39497327356265
"irx3.S",5.94689106934558,0.0700867457964408
"dach1.L",5.74582714352287,2.48063229782439
"hmgb2.S",5.55025948204396,10.2151461751967
"tp53.L",5.20991743348639,3.77446186195999
"foxk2.L",5.0626437673507,15.68311574305
"pbx1.S",4.43013310233141,2.33642361519486
"irx4.L",3.83422717285305,3.24522803772683
"rarb.L",3.61378729355808,0
"tox4.L",3.51354446574839,0
"sub1.S",3.30597708516316,2.75946029106128
"blzf1.S",3.30463033899552,2.25779982567298
"sub1.L",2.55110431283512,1.84235340507079
"lrrfip2.L",2.5475986665436,1.34593238621183
"zbtb41.L",2.29791669803388,0
"hif1a.L",2.11773096630579,1.3535373147872
"stat1.L",2.107832630385,2.0345571992065
"rcor1.L",1.89250158857074,0.983344853657358
"tbx5.L",1.85397486356726,7.62444053203597
"bhlhe40.L",1.76141509210976,5.97713465007558
"znf653.S",1.71264887336724,0
"tef.S",1.6971596002562,5.21214513160349
"znf653.L",1.5233063909192,0.196133327128763
"dnajc2.S",1.43034672130242,0.970827519585156
"hmg20b.L",1.33346059533113,1.26140135620893
"nfib.L",1.24330219702171,0.154938889823641
"stat5b.L",1.22064057418128,0.808529931502687
"casz1.S",1.20680694151718,6.73565757181307
"hmgb3.L",1.17753866645188,5.77164528293335
"cnbp.S",1.16155078002226,2.84857941840016
"hif1a.S",1.12163734861572,1.05293779878393
"tfam.S",1.09738441220814,0.593628528489136
"pura.L",1.07547056041697,0.80836762696074
"znf684.L",1.01567626677798,0.0167235173716164
"nfe2l2.L",0.953144245505373,6.54325039500263
"dnajc1.L",0.837658592580198,2.30474946328018
"esrrg.L",0.809182097051446,0.294838910296401
"zfp36l2.S",0.802637454027056,2.00066140588027
"ddit3.L",0.690713627581074,3.52400351739083
"cdip1.L",0.647456451580107,6.54759539164181
"znf148.L",0.610338304839095,1.12149412944317
"mlx.L",0.523042076238708,1.02816617193735
"zbtb47.L",0.377377164029585,1.5819328539043
"pbx1.L",0.334897247812508,1.56358027914372
"tmf1.S",0.296336686591761,3.57168726839318
"bhlhe40.S",0.287194786693843,1.06887468328326
"hmgb2.L",0.267929418319523,1.79294291719649
"ssrp1.S",0.228167196374474,1.02428013816081
"purb.L",0.224906514958551,1.3415981435446
"nfyc.S",0.224073532766263,3.04808662357809
"myc.S",0.0950514583620882,1.32154682937828
"csde1.L",0,3.32535537591292
"dach2.S",0,5.52960239495025
"dnajc1.S",0,2.10427720157014
"epas1.L",0,1.56677027287967
"gata4.L",0,3.3197796072247
"gatad1.L",0,2.5331829819061
"gmeb1.L",0,1.49852414649572
"gmeb1.S",0,2.11915610013708
"hdx.L",0,1.45470288680399
"hmg20a.L",0,3.59744946130531
"irx2.L",0,1.33114631477102
"mef2a.S",0,1.77224777907633
"mef2c.L",0,3.80042993716687
"nfyc.L",0,8.67791013082448
"otx1.S",0,2.20719048224358
"pbx2.L",0,1.18769544693404
"prox1.S",0,2.54664222569963
"rara.S",0,3.97484952214663
"smad9.L",0,2.07213090691913
"tbx5.S",0,17.3992480031569
"tef.L",0,2.57406811070804
"tfam.L",0,2.67836955648735
"tfb1m.L",0,1.49635319557714
"tmf1.L",0,1.88134609837434
"znf277.L",0,1.02514502738637
"znf507.L",0,1.07755355440577
"znf605.S",0,1.22587938545772
"dach1.S",0,0
"esrrg.S",0,0
"foxi1.L",0,0
"foxi1.S",0,0
"gata3.L",0,0
"gata3.S",0,0
"hnf1b.L",0,0
"hoxb7.L",0,0
"hoxb7.S",0,0
"hoxd3.S",0,0
"hoxd8.L",0,0
"hoxd9.L",0,0
"hoxd9.S",0,0
"kank1.L",0,0
"lhx1.S",0,0
"mecom.L",0,0
"myb.S",0,0
"nr1i2.L",0,0
"pax2.L",0,0
"pax2.S",0,0
"pias2.L",0,0
"pou3f4.L",0,0
"pou3f4.S",0,0
"tbx2.L",0,0
"tfap2a.L",0,0
