"","NF48_NF54","NF54_NF59","NF59_NF66"
"foxr1.L",72.1393933938711,33.6917871587494,6.23077676883696
"meox2.L",58.4502763322736,5.63557469383264,1.63602547417806
"sox9.S",43.8684832249099,56.8920328811452,77.8062593681926
"sox9.L",43.0442519599144,45.3187200391366,66.4821666574488
"nme2.L",35.6233081688696,12.305002338444,5.05314504123038
"foxk2.L",31.4964699298154,9.55964597760791,9.6779892593274
"tsc22d3.L",26.9275018153642,25.9460116814102,11.1464337663178
"foxp4.S",24.809666918737,7.10850445831622,4.99292474387613
"tcf25.L",23.3671907984724,7.71291280635196,4.65689955480653
"cebpd.S",19.675070704618,13.4790400753292,3.3894779845651
"fos.S",19.4995353087122,23.0673684294924,12.0526969869164
"hoxa3.L",15.325960661282,13.0674895360629,1.19402759734106
"zfp36l2.S",15.2181634623447,7.70567889052691,2.9251603727282
"ssrp1.S",14.453287742765,7.47557434971633,8.13266667020719
"klf15.L",14.1741113600575,10.0429572967239,14.3120567227087
"junb.L",13.9860016259069,14.9365169910239,7.83118087573169
"dnajc21.L",13.5837653929486,3.36378903812825,2.54704068488699
"hmgb2.S",13.1550737303105,4.91494057899259,3.00759227272894
"cebpd.L",11.7784255509341,15.7274255389809,8.00710096725636
"twist1.L",11.4391521834656,13.9184685035582,10.2304077636142
"smarce1.S",11.3914502951111,6.47248991997891,4.23566476892575
"nfe2l2.L",11.0697452152454,8.03790935298822,3.41922655520048
"hoxa3.S",10.8994652977203,5.47613561250598,1.6033182645041
"id3.S",10.1337693748544,16.0421839464963,13.1568209104047
"jun.S",9.96426889994556,15.8071322750392,14.9311517915036
"zfp36.S",9.67336219769679,6.45641802993547,1.83601125994789
"jun.L",9.16069192601843,15.1229526131418,11.7354945720272
"foxk2.S",9.14006759281339,1.67232698214532,1.89718753717684
"sfpq.L",8.89292186609446,6.36908296063898,6.41259332241551
"nfe2l1.L",8.54197163793471,3.06219582967527,1.07716111188508
"sox8.L",8.37313980111032,20.9327104182284,32.5294965448342
"egr1.L",8.33793410722086,17.4758137217625,15.4953301258173
"fos.L",8.0770980118878,11.0843424656209,5.65927878480371
"hmgb2.L",7.9930755102242,3.03562807932365,2.5991365534803
"twist1.S",7.89364493238452,7.3597618785808,5.1901139391114
"atf4.L",7.69318276069463,8.33398849797692,6.71044195612024
"carhsp1.L",7.35524081271381,3.17221917757228,2.65437653964439
"kank1.L",7.16630469326313,5.33760002323518,5.17299697622408
"nfe2l1.S",6.85279735060211,2.93384906425364,2.11991051857153
"myc.S",6.79147545174861,15.8223635599547,17.23967415827
"tef.S",6.51396037908756,0.461453642299469,0.233089493823665
"ubtf.L",6.28886408483178,2.99165640277146,2.07271422258425
"egr1.S",6.23211735619261,12.3116335017038,11.3737025483559
"csde1.L",6.03929029932075,2.63643023673132,3.32212208115626
"rela.L",5.9946771356174,2.1467383016667,1.44765901817835
"tef.L",5.47002728707293,0.320149597097528,0.18775186357712
"hmgb3.L",5.27353556643384,12.2582696408632,12.3053327289652
"meox2.S",5.2694364687035,0.155455125359171,0.131429806671673
"zmiz2.S",4.83725622463039,2.07504611928979,0.510557976444231
"id2.S",4.61315964975463,5.87408908747452,4.29600578840593
"cnbp.S",4.55095179083974,3.12705587921377,2.09906109995892
"barx1.S",4.48914725517266,2.48390480111449,0
"glis2.L",4.46551052783861,1.48842736671099,2.70111384132427
"klf2.L",4.1686719948972,6.44538679732745,10.9173413208992
"znf326.S",4.10789378225964,3.0967117520598,4.06805428214624
"id3.L",4.01831018721407,8.69304709003732,6.58538536660706
"id2.L",4.01818164960706,4.85544473441405,2.61276124779402
"dlx2.S",3.95274615351681,3.61443804172325,0.40473140830159
"blzf1.S",3.67352826644554,1.06503796462169,1.2457461450774
"dlx2.L",3.67086463614874,1.11793045284564,0.15137571290146
"junb.S",3.43533118071485,4.63352553946846,2.57237617276797
"znf277.L",3.39930550921267,1.32953149608994,0.648922289258804
"klf2.S",3.35984496167586,3.19181993158987,4.61593690810911
"smarce1.L",3.35936348316406,2.03375129163212,1.8490411563351
"klf15.S",3.35251263843322,2.32299402371137,5.98560102275636
"setbp1.S",3.33339646021414,1.62007506955106,1.00563179550417
"hoxd3.S",3.09240394094211,1.46954586852585,0
"jund.S",2.90107631466573,6.47987863046985,6.10610533981601
"tfe3.S",2.83231572086205,3.22563422357202,3.26588243889158
"ddit3.L",2.79494358858089,1.59823627400727,0.885671069827272
"znf605.S",2.77466431181101,1.43327001731116,1.85411362468342
"mecom.L",2.70964008906655,0.742831086290565,0.58456478962802
"khsrp.S",2.69549671113524,1.24564648031652,0.755866195174259
"tmf1.L",2.57385378056186,1.42837724820772,0.703146218498187
"atf4.S",2.57196744326735,3.02719030622136,2.3763649444998
"dnajc1.S",2.55566289621744,5.48831663150353,2.79430360392038
"erf.L",2.51363712324493,6.05565989774369,8.77640297389792
"purb.S",2.38081870764605,1.93496473866509,2.42877766137756
"emx2.L",2.18447220848519,2.09226235770539,0
"mlx.L",2.16559592489489,1.28305193502419,1.28940200067642
"cdc5l.S",2.08568610403696,0.846202476138815,0.800361973822011
"srebf1.S",1.99444318540688,2.05859639553426,1.24537294163441
"nfyc.S",1.99234171941477,0.319257476213498,0.349591164227871
"smad7.L",1.9449279784076,4.47811591086921,5.18778184955812
"myef2.L",1.93855494111831,2.57234978697553,1.56682494357624
"khsrp.L",1.90417122477711,0.601902450964754,0.69957495859738
"crebl2.L",1.8976212686655,0,0
"prdm2.L",1.89283329004491,2.33690677751685,1.89644455786499
"setbp1.L",1.82641832948742,0.985854514953326,2.20756108825099
"atf3.L",1.79121050687359,4.58430353478806,7.55506031624794
"myc.L",1.78171834951532,6.66144935019367,7.06741191212976
"dnajc2.S",1.7396091460475,1.34540376207167,1.05039790384678
"sfpq.S",1.72205802838602,2.1669089111454,2.71923665690683
"foxc1.S",1.66855987542977,3.29400348884892,3.31938277179257
"hmg20a.L",1.66240170074916,0.233872744687885,0.319264312025426
"irf1.L",1.63190241880621,2.9948627300778,0.0942286810358569
"rxra.L",1.59393361027755,0.950272519252951,0.687606849290566
"ubtf.S",1.57751635457596,0.403923949982648,0.348521608148093
"sox8.S",1.5774546106824,6.6209977883806,3.43647489186742
"sox5.L",1.51997271658288,4.23513504210996,10.780635212397
"tsc22d2.L",1.50300942590549,5.99193098312498,15.5427377935587
"fosl1.L",1.46307203537433,5.06343926443782,9.35775800495733
"tmf1.S",1.44787884818617,1.32528394749135,1.20926941036132
"baz2b.L",1.40569478476843,0.00339972341065828,0.000360393745754926
"pax9.L",1.3952957827264,4.00024368368236,0
"dnajc1.L",1.3597564299058,2.38142607594128,1.07075324157003
"phb.L",1.33668106775017,1.03153960858902,0.650409149946308
"smad2.L",1.31498690980987,1.11837677200924,0.592129626086102
"msx2.L",1.30939529799885,1.6068586678434,0.465804966919446
"sub1.S",1.27675196565335,0.957009689241319,0.603729620937657
"hbp1.L",1.26966674646068,0.353630243527667,0.196315656121988
"pura.L",1.26263470030169,1.2380035362401,1.07698040154482
"csde1.S",1.25536495142579,0.236519301118287,0.133149436850151
"tcf3.S",1.2461556182723,0.682095598212845,1.15614565825401
"phb.S",1.21077038639048,0.586733038184038,0.0372810870813612
"znf326.L",1.19078353387287,0.727733397739863,1.26935337919721
"hoxd3.L",1.15223523836704,1.08884501117756,0
"klf10.S",1.13324470724277,2.57457695938082,3.44870698081434
"cdc5l.L",1.10941520303786,0.483862957069235,0.53968790531359
"tfcp2.L",1.07958773207166,0.159419627288033,0.0695805127789742
"six2.L",1.07222720479453,2.51318522766049,4.10365981455193
"foxo3.L",1.00762396018232,1.09459738295489,1.16567283265239
