"","NF48_NF54","NF54_NF59","NF59_NF66"
"prox1.L",69.0505139063832,72.6091844507944,70.3710553655823
"neurod1.S",62.7313163089989,0,0
"prox1.S",53.9737581466372,41.5231947510379,35.5220737816282
"tub.S",51.4673336756423,0,0
"neurod1.L",32.9362492638764,1.11238521698933,1.03127923672081
"myt1.L",32.5644838968493,79.8610421491803,61.7203678701816
"tbx1.L",18.859845713366,0.424890870020049,0.134493391736586
"hopx.S",18.0116183691875,0,0
"hopx.L",17.6711300893243,0,0
"foxa2.L",16.7416352668508,0.81768686543806,0.5816027842955
"hand2.L",15.583921825007,0,0
"foxa2.S",15.1121163140829,0,0
"sgsm2.S",14.2057002621194,1.51153213520617,0.873068648364581
"st18.L",10.9401172466497,1.53657768649987,2.1287820504743
"pax6.L",8.18204635050514,0,0
"npas4.L",7.87469475556426,0.37519202846769,0.0581750423255097
"sfpq.S",7.82590858118743,1.73056397115029,0.858537121366327
"tbx20.L",7.631148601701,0,0
"atf4.L",6.27705620092448,2.57539197551704,1.76605676008787
"lhx3.L",6.19218553667779,10.1460201378115,22.8808647626421
"pax6.S",5.3944181942915,0,0
"foxq1.L",4.6707062653691,0,0
"hic2.L",4.40985624287279,2.63585470474471,1.404621665788
"hey1.L",4.15636827188715,0,0
"atf4.S",4.13859452049065,1.01050732338394,0.57108433925583
"dmrta2.L",4.12320655961149,7.90782377777404,0
"sfpq.L",3.88545574779232,2.60740086830492,1.12639692880708
"smarca5.L",3.68167906455606,1.0241036050398,0.876328246138771
"nr4a2.L",3.39503839003074,0,0
"foxa1.S",3.28406405639492,0,0
"sgsm2.L",2.95468056228916,1.17520479240673,1.239507022638
"phox2b.S",2.91062726502894,0,0
"mxi1.L",2.90139444241,9.16328335380641,1.39601718108752
"tub.L",2.58586830854537,0.536719461397884,0.216107626704848
"dach1.L",2.48682752116584,1.2041983368111,0.529574569256231
"foxa1.L",2.47599779526825,0,0
"kank1.S",2.44466560503436,0,0
"zbtb18.S",2.40012262725469,1.32532169034728,3.0493545491125
"mlx.L",2.39007759791893,0.0658210245273515,0.0351480962497981
"baz2b.S",2.27984488720127,0.810015731394239,0.606333897397833
"tox.S",2.14244119899344,1.11894980420406,1.09524952698795
"fosl1.S",2.11153535978606,0.679518430450128,0.101094483563282
"myef2.L",2.11132772665879,0.823353796176231,0.632807769909776
"jund.L",2.09317314318987,0,0
"nfe2l1.S",2.01411780053866,0.332486942870746,0.243444040920935
"nfxl1.L",1.93496260992118,0.234367854953174,0.200671709558247
"nfe2l1.L",1.85607604635026,0.991228126118613,0.595535525634391
"tfap2b.S",1.82242183781063,2.91793106711562,0.496991829977397
"nfe2l3.L",1.81724578961141,0.452366672337968,0.0103517854244464
"ssrp1.S",1.81050170120037,0.427138893425254,0.441821428463906
"hmgb3.L",1.78624053923615,0.811873291730242,0.340074195787195
"nr4a2.S",1.78291543901942,0,0
"jun.S",1.78010427015356,0.392640251878884,0.396345125909079
"tsc22d3.L",1.77248251075811,0.0873591688311389,0.0837181460448179
"jund.S",1.76185549719645,0.328215055568644,0.309147861049812
"sox3.S",1.74252244390751,0,0
