"","NF48_NF54","NF54_NF59","NF59_NF66"
"sox17a.S",181.2447369275,189.659414899591,208.223718812934
"sox7.L",136.797465336026,77.0443054649628,91.2458209789709
"sox7.S",123.905376567664,117.094240565718,86.0707662204109
"klf7.L",95.697696336595,127.390238249591,84.6894144946446
"klf2.S",24.8722868434502,13.954642072337,24.1666840688618
"epas1.L",24.437749656161,37.7494473676766,54.3126029005487
"maf.L",20.7170235369346,8.84400335388834,0
"mef2c.L",15.6730193704385,8.86268435924761,3.26328725257193
"elk3.L",15.0945887919036,22.2474043164895,40.1586752970358
"fli1.S",12.7476603183651,26.8497172637753,39.9047911763595
"fli1.L",12.3782632960894,29.9307750052768,26.0924799537881
"hes1.S",11.4579768351198,12.0128739307253,6.10139700845997
"prdm1.L",11.2497807141469,37.3043440509196,7.24289911711708
"fosl2.L",10.7349300694831,8.42300199051157,3.62845399160383
"hey1.L",10.353830107544,13.5922770257223,8.91678394035613
"irf1.L",9.85515946106561,23.4909210324001,11.2706328155794
"klf2.L",9.48747432484508,8.03566213657638,21.4966407098999
"jun.S",9.02723946475488,9.41288347759963,8.67583578271699
"gata2.L",7.47763124694734,6.03192094878015,15.0301848242314
"etv3.S",7.21387037169336,7.00903856197278,5.92591681049379
"atf4.L",7.01992100127776,5.42386730779667,4.69466195090664
"ets1.L",6.94889602629735,5.01146760516373,2.52114441707073
"hes4.L",6.82282489310881,14.2477178250094,8.42187210381924
"junb.L",6.01913324035666,6.3148046856666,4.44849827606847
"tfe3.S",5.92768940272301,3.83389657529352,1.76525575383402
"prox1.S",5.87377959728527,1.75538763535931,2.13061696487388
"hif1a.L",5.42702816391019,3.95107601110062,1.87602873830933
"jun.L",5.01268661906045,5.16019258157331,5.69711634960526
"fosl1.L",4.92251748137219,5.72100147372256,3.69636829395254
"maf.S",4.91164328394763,6.14695907484208,0.130259705646544
"myc.S",4.79846108250486,3.63187635975991,1.69051075072003
"hes1.L",4.56171090372437,2.61578209969365,1.41471964705338
"tal1.S",4.53103564107932,4.22760488310321,5.3796143497726
"tsc22d3.L",4.35653265094108,3.06598306288349,3.62440571592775
