"","NF54_NF59","NF59_NF66"
"cdx2.S",105.617138763322,103.919104209249
"cdx2.L",44.6317050168301,49.2206126313803
"hnf4g.S",40.1716735414008,24.2146330567504
"hnf4b.S",38.442897936588,62.3768687646995
"cdx1.S",35.8624850134771,24.8663521894867
"bhlhe40.S",29.1339421375351,30.7337245464821
"tef.S",28.0310587191404,14.796800065995
"nme2.L",26.4777633455812,32.9660572391373
"cebpa.L",24.3998996352494,45.1896352798442
"srebf1.S",23.1953331116826,34.3493360295411
"junb.L",19.5902091168875,12.3171099132167
"myrfl.L",19.1279924035695,16.4472075177938
"cebpd.S",17.3533513984491,12.6733907147374
"atf4.L",17.0786575744334,13.5484251600023
"hnf4b.L",15.5422755445275,27.3402214669595
"jun.L",15.0477792174945,6.49733990663206
"jund.S",12.7557060478357,12.4146884976253
"gata6.S",11.8207633353228,10.2851316551746
"ddit3.L",11.7693856413881,5.14411459788439
"gata5.S",11.7138956700155,12.7491835602705
"jun.S",11.5092392310144,5.15154718034222
"nfe2l2.L",11.1427700587151,13.9491757418363
"fos.S",10.0692186333375,3.39538713019603
"ssrp1.S",9.73748641967564,7.9173487335284
"tfe3.S",9.72175834233262,8.34665381163315
"nr0b2.L",9.09929947844703,11.7445745983014
"atf4.S",9.0535138733372,8.99046856590511
"fosl1.S",8.78365725923412,7.27961177663339
"sfpq.S",8.57015858556304,11.5971803930383
"gata4.L",8.56799043357567,10.1492768530508
"carhsp1.S",8.56289107973221,7.34797990095106
"thap4.S",8.49791427096404,7.58506743809894
"znf534.L",8.49469083421704,11.7764375308906
"myrfl.S",8.43595357297572,7.20950116167971
"tsc22d3.L",8.1838625886271,3.22821772831889
"creb3.S",8.01903795084177,4.5277869952572
"mlx.L",8.01858137926354,6.51436744508405
"zfp36.S",7.97663890366602,6.28543732596895
"dnajc1.L",7.45056438379633,4.50211369752577
"nfe2l1.S",7.35384813931074,6.27197420518018
"hmgb3.L",7.28368548154825,4.49994892383691
"fos.L",6.86756492923864,2.05982864268536
"creb3l4.L",6.63464619687567,6.92660977844408
"bhlhe40.L",6.63155771784197,0
"znf622.S",5.81642229890852,2.99566697174162
"tcf25.L",5.61637830850959,8.13152179740188
"atf3.L",5.55966113235653,6.12428987784954
"tax1bp1.L",5.33812483264879,5.46343201524467
"cc2d1a.L",5.12543949808341,4.12896116963805
"mlx.S",4.82564113116598,3.3774248773494
"klf11.L",4.72658347517841,2.45741381622068
"hmgb2.S",4.60046667001996,4.23852184329654
"junb.S",4.3701894350326,1.2494008547826
"phb.S",4.2780079861883,2.74394175126148
"klf10.S",4.22215620435154,2.93126261501032
"purb.S",4.15250973886628,3.70347785883543
"cnbp.S",4.10401356136993,2.17366817130648
"hif1a.L",4.00991999327277,2.53937069800352
"jund.L",3.94158433592367,2.1624082824343
"hes1.S",3.89929608096849,1.18829919523976
"foxa1.L",3.87116639287235,13.1093524107339
"nr1h2.L",3.83278067893417,4.15047550535294
"lrrfip2.L",3.49075211163675,1.96398378161571
"klf4.L",3.47238652702039,4.46561987734743
"fosl2.L",3.44016494440116,8.01574454477996
"id2.S",3.41536868295628,1.9603165854932
"hnf4g.L",3.27891150387428,3.1763779106944
"fosl2.S",3.22472406797345,6.88209697248036
"fosl1.L",3.1400780655495,3.89251576088238
"nfe2l1.L",3.13201231358841,4.06153438443904
"ets2.L",3.04434224761038,2.17532287136161
"dnajc2.S",2.96249665924328,1.10752122729653
"nr1i2.S",2.86200438659605,3.38272425854965
"gata4.S",2.6294475090434,1.14970748329984
"rela.L",2.60042841832672,1.45485754401762
"cebpd.L",2.59382438054997,1.23507354522854
"tmf1.L",2.45518049922044,1.84851504777356
"hif1a.S",2.43693359472455,2.40868181930859
"hmgb2.L",2.34839044781868,2.81905405467235
"smarce1.L",2.31561802837515,4.08866288173381
"id2.L",2.30052355587915,1.26468451842457
"tcf7l2.S",2.2925018839433,2.62645114413812
"rxrb.L",2.28608038281061,2.08756607161686
"myef2.S",2.27318721162944,1.95467762834466
"arid3a.S",2.19785955148902,0
"ovol2.S",2.12497660508919,1.80543695184115
"egr1.L",2.08941768228004,0.679318020568274
"stat1.L",2.0799134118898,5.08050227174998
"maf.L",2.0433190193763,2.35627253431236
"maff.L",2.03707480180927,4.61582681213501
"tcf7l2.L",1.94858479339499,0.804277480985378
"smarce1.S",1.9223252370132,1.68869243828649
"znf326.S",1.89374705481967,2.59676020664706
"nr0b2.S",1.81116930100111,0.805542408972378
"phb.L",1.77445433781948,1.20770407744
"tef.L",1.7318106093634,0.391032351185473
"egr2.L",1.63373966898617,0.466322260609061
"dnajc1.S",1.55794994996576,2.07009206029529
"znf277.L",1.5331678269383,1.81599562071604
"elf1.S",1.5179739795706,2.17765786506713
"gmeb1.S",1.4235703730117,0.776919107844139
"creb3l4.S",1.37884114289102,2.19145549085007
"myef2.L",1.34435350301292,0.76337333107119
"atf5.L",1.32030514782281,0.0535887708823323
"stat2.L",1.31046113791849,5.04664433327796
"dnajc21.L",1.26218741443968,1.48583620911795
"irf7.L",1.25061785707684,4.69534721230679
"ubtf.L",1.19645391107344,0.549714455381905
"zfp36l2.S",1.09141412949582,1.28605255770072
"etv3.S",1.08788980033515,2.84879298220734
"nr1i2.L",1.06401639795462,0.0582392794138019
"pura.L",1.05202333461433,0.862721237876477
"egr1.S",1.00825308083667,0.402473114375503
"zfp91.L",1.00005965140042,0.481084495286324
"zmiz2.S",0.899096308268542,1.39440666341198
"nfyc.S",0.7911794460809,0.947689865992274
"znf605.S",0.7793601920972,1.28243587975958
"rxra.L",0.75419220535531,1.85252364259517
"nr4a2.L",0.717707059929676,1.66271212272636
"tmf1.S",0.65882706691422,0.514679557023446
"erf.L",0.595296484959972,1.45799929434424
"foxk2.L",0.559980011672273,2.98623384088021
"maff.S",0.555047581689307,3.01851610272396
"stat1.S",0.511525880171956,1.3749792826466
"ets2.S",0.493379297045301,1.99229292575422
"hnf1b.L",0.038812651792661,0
"esr2.L",0,4.9463077060209
"foxk2.S",0,1.87492666186018
"id4.S",0,3.14825766971351
"nfib.L",0,3.18075848362192
"tgif1.L",0,3.88178315994819
"dach1.L",0,0
"dach1.S",0,0
"esrrg.L",0,0
"esrrg.S",0,0
"foxi1.L",0,0
"foxi1.S",0,0
"gata3.L",0,0
"gata3.S",0,0
"hoxb7.L",0,0
"hoxb7.S",0,0
"hoxd3.S",0,0
"hoxd8.L",0,0
"hoxd9.L",0,0
"hoxd9.S",0,0
"kank1.L",0,0
"lhx1.S",0,0
"mecom.L",0,0
"myb.S",0,0
"pax2.L",0,0
"pax2.S",0,0
"pias2.L",0,0
"pou3f4.L",0,0
"pou3f4.S",0,0
"tbx2.L",0,0
"tfap2a.L",0,0
