"","NF48_NF54","NF54_NF59","NF59_NF66"
"spib.L",171.830854475701,140.872129931065,146.196861705066
"cebpa.L",154.213787362432,58.085745987314,22.9679097006103
"plek.L",132.016590691462,189.87417920982,272.132712031967
"spi1.S",63.5129285662655,80.8187177459928,142.545301798837
"lyl1.S",29.4595281510712,37.6589050272515,90.232646558647
"fosl2.L",27.3824096394905,22.1923746447495,6.89626771116742
"atf4.S",27.2392721721734,34.3552163815237,8.70639456895865
"hes1.L",21.8706680613542,16.076496861924,14.5816507951235
"atf4.L",21.0008711777276,18.2397772366712,3.91275488227375
"spib.S",18.8080193407277,9.71990647147169,13.95779247019
"maff.S",15.6669150698235,22.9211061777484,7.92406443439266
"mxd1.L",12.8316423370156,4.01179647060994,1.29044308550586
"ikzf1.L",12.1733118381559,2.00090498958162,3.2052165431646
"etv3.S",11.9237943834865,12.8212825389713,5.81854273965269
"stat1.S",11.4235930688552,5.48747867305158,7.77887565439245
"cebpa.S",10.9141743913012,3.76433176619427,6.29340952669328
"litaf.L",9.61413076951723,16.9149023122567,19.0165602500112
"sfpq.S",8.83066486607964,7.29469831596396,2.24899891308799
"mlx.L",8.60824014130571,9.2164229227366,3.52657070419464
"hif1a.S",7.09858446865897,4.05067412227259,0.947389774253246
"fosl2.S",7.06987665368298,6.83537112951943,2.0498664082799
"plscr1.S",6.91264265767252,8.36753586904189,10.908195872798
"nfe2l2.L",6.86939491876224,7.02260380841207,3.56905737896747
"runx1.L",6.30247119106691,4.43416212980338,6.34009076638505
"nme2.L",6.12448904774339,6.10608624094754,1.76445149347781
"nfe2l1.L",6.09261443566037,21.7729864563392,11.0383160834165
"tsc22d3.L",5.51172142804212,2.98829013862392,1.77385541031945
"ddit3.L",5.0856358398307,4.69284251137529,1.29648469635578
"hmgb2.S",5.04619618287006,3.14487569327075,1.30816532335263
"hhex.L",4.91338445795758,4.29531569375975,10.7455472297804
"baz2b.L",4.41308962039513,13.292189644811,19.8338000981634
"hif1a.L",4.27065244376701,5.62859527748118,3.84972263794827
"maff.L",4.24068018174433,7.42755068418751,2.91716192736872
"irf7.L",3.91075454663173,2.83870760624227,2.12358713468972
"junb.L",3.90656875672934,3.73217390664885,0.592307243101751
"hmgb2.L",3.88450325760465,1.88237914305401,0.807616905411058
"baz2b.S",3.65742248117654,7.86578769987799,10.6082673968176
"bcl6.S",3.57445075739609,3.1717548954023,0.643700245376122
"rara.S",3.29369393989549,5.15741067584401,4.52104745231962
"nfe2l1.S",3.02048103316748,5.74165295355045,3.27468829604056
"arid3a.S",2.97463332504119,3.69831306926286,6.97471630675787
"ssrp1.S",2.94538327804309,2.8547295718241,1.67161912416642
"arnt.S",2.88830598624014,2.39130871360509,1.65644078907142
"elf1.L",2.63771341757017,1.55787674601649,1.30644909762625
"rel.S",2.61733798264887,6.24267703843701,5.93909654222837
"ets2.S",2.61513374987696,0.314231770442101,0
"zfp36.S",2.50765775701954,1.95263580942509,0.427868558381878
"atf3.L",2.49358594888946,3.44229748129664,1.54035523673304
"creb3.S",2.41756175109746,2.2334684148213,1.91884605245681
"smarca5.S",2.32781924260974,1.05043287871408,0.335885793028234
"ets2.L",2.28134576952557,0.255473129631056,0.151201045954111
"atf1.S",2.27633907807495,2.92394526175951,1.03983224809148
"blzf1.L",2.24887869459089,3.6622546001938,4.85015154284482
"zbtb18.S",1.9375079512535,1.7576460666974,1.88533591103031
"smarce1.S",1.92712394528717,1.8456041574575,1.09150616332382
"myef2.S",1.92671942060568,1.27232004112904,0.937944463063403
"atf6b.L",1.89582248247586,1.45623442093969,0.85687171633234
"smarca5.L",1.83066844723307,0.834559678837794,0.442448165654157
"id2.S",1.71983457250952,0.419208488322285,0.0633237102932911
"znf326.S",1.63646393631976,1.87774978922723,0.954594223583904
"smarce1.L",1.61883303734419,1.49355119885625,1.46464691327936
"nfe2.L",1.57460507027018,0.830128743429296,4.1055542988865
"tsc22d2.L",1.50654634616949,1.93506489221822,1.3180246091091
"purb.S",1.49624061207795,1.70936412365373,0.926355511388273
"sfpq.L",1.41121411778297,3.551681660637,1.12517826139444
"erg.S",1.40014580576753,2.23499788822289,2.54175375457346
"id2.L",1.3633036329401,0.925748923614898,0.458722968029244
"hhex.S",1.3460848244573,2.99190991475565,19.2165333803381
"e2f8.L",1.32119636363799,0.215478889096678,0.441083688024399
"tfe3.S",1.29733299509004,2.72423399042119,1.18705292360351
"stat6.L",1.23551545854815,1.20220958023286,1.05814939438799
"cnbp.S",1.11062706976966,2.19519585197964,1.14109375886727
"zbtb8b.S",1.08226976803259,0.236231195197896,0.0384687626272806
"cebpz.L",1.07000072343863,17.2516227715071,14.4085985444626
"tax1bp1.L",1.06963462334484,2.70364079444788,0.732394710710037
"rorc.S",1.0532348290897,0,0
"rxra.S",0.939089393125541,3.29650705006218,8.50841495874549
"csrnp1.S",0.938409602036788,2.09863610360838,1.01644923177874
"mlx.S",0.932647119021969,1.04065979509774,0.749459639198044
"myc.S",0.886094792973338,2.72675435971929,0.824497099065203
"junb.S",0.87545269531168,1.55050862040437,0.0954289728663935
"batf.L",0.822955660599355,1.76375511858341,0.299977222125708
"csrnp1.L",0.799191915021623,1.94752297450419,1.24672838257507
"zbtb34.S",0.744341587822613,1.4913979742843,3.92387935972684
"nfyc.S",0.728622527855515,1.28233129310428,3.20705726112738
"stat1.L",0.696196287727526,0.412201024939719,1.05866731776027
"ubtf.L",0.57792788921929,1.31570666220867,0.986390896759494
"znf326.L",0.557388345866868,1.91913040946795,1.11773586198917
"nr4a2.L",0.535774175246655,1.01818084651937,1.3372848619235
"yy1.S",0.498183710187293,0.798404486581817,2.14855996559141
"khsrp.S",0.455032095621833,0.882934174715744,1.0668882238232
"cdc5l.S",0.419531960405638,0.80164157966198,2.18270712111478
"adnp.L",0.418236807793881,0.655025373897342,1.30327766682661
"tef.S",0.4097610949248,3.56427223689089,2.37368247031744
"cbfb.L",0.380935750645189,0.835595838566571,1.68626514704739
"tal1.L",0.37947248495666,2.53383378481288,5.01078048597997
"blzf1.S",0.357999363357922,1.27216563100857,3.42619077836166
"dnajc1.S",0.350150082186558,0.875075319479157,1.03225011980286
"spi1.L",0.326216659299157,1.01988356595046,2.03644758409446
"mbd3.S",0.32543189258505,0.508942462261185,1.88168216228519
"zbtb34.L",0.294660742046024,0.435511652140293,1.19748775428149
"irf5.L",0.291481142691226,0.272319507903145,1.85660759012646
"zbtb2.S",0.228129171507764,0.489345520647001,1.30285755399544
"znf277.L",0.212556187632054,0.573879152294749,1.15166156786002
"znf592.S",0.185451493040252,0.51817647481181,1.3615099669216
"znf384.L",0.179897002358643,0.588560194463022,1.17909984131893
"foxk2.S",0.172993520935632,0.703390064224876,1.31692839083394
"arid3a.L",0.134890844696502,0.839955505747378,4.64409070623168
"rfx2.L",0.0783790282031255,2.36955408921115,4.157873317386
"nfatc3.S",0.0447484117939826,0.0858746721499582,1.181333167177
"smarca1.L",0.0357813279535249,0.43527820918643,2.08183324587279
"max.L",0.0222664169713811,0.16233441559008,1.50841661007938
"crebl2.L",0.0180674469943137,0.289093116789239,1.39336274442995
"zhx2.S",0.0116987353732192,1.44463146849161,1.84535124530968
"dach1.L",0,0,2.95786459140067
