"","NF48_NF54","NF54_NF59","NF59_NF66"
"klf2.L",68.1084630046898,18.0416930163658,0
"ets2.L",58.3455021142687,32.7713469532661,21.8232331446198
"tp63.L",57.4374501988476,48.2546188153003,37.9013233438114
"tfap2a.L",53.8947037304067,12.5649473134271,4.52972344706009
"bhlhe40.L",40.0815706572993,45.4239781548166,14.238568777002
"tfap2c.S",39.6709469598601,16.0941075205007,6.92041151506628
"fosl1.L",27.3067257911485,62.8830662023857,58.1175321697336
"nme2.L",25.4988267281143,19.882564058213,12.6640338448523
"junb.L",23.6385126386066,33.1071747797176,31.7414275645503
"atf4.L",22.781548273795,23.2631041856076,26.6010906971306
"tfap2b.S",19.7909975933499,10.2175681192985,5.71854009737928
"klf2.S",19.1946715998685,14.3784673140438,0
"atf4.S",16.5602323467455,27.6297333823529,36.1824172970368
"fos.S",16.509343859899,17.6524874761628,11.1624429372732
"tp63.S",16.4379905156438,12.5499775047671,5.91353327274611
"znf534.L",16.1190854808419,4.98105065769451,0.117861059690334
"fosl1.S",15.179075194227,42.3489463515462,48.6407047935625
"fos.L",14.4976143128646,14.6576709214449,8.17423075530471
"tfap2a.S",14.4771789559433,4.04494137347289,0.790974970548877
"bhlhe40.S",12.0785150750992,11.8007216555733,3.79954242467482
"hif1a.L",11.3317456537929,4.93936483641452,2.49630657828962
"jun.S",10.9050041812767,12.1757443203149,6.56902391167503
"irf5.L",10.3085305608623,2.6595714490661,2.49052889754939
"ybx2.L",10.3050800424717,4.8788048991194,2.1197322013023
"jun.L",9.00899067514173,11.9850832767963,8.77831849655446
"zfp36.S",8.65406517086828,16.1236923244279,23.4966170986259
"junb.S",8.4848138597454,14.1074280338027,10.6309511419851
"ascl2.S",7.88798318445707,0,0
"egr1.L",7.01228964982563,5.84745732795924,5.69653952906991
"fosl2.S",6.8443587076554,10.0880660389125,13.3200638960065
"hmgb2.L",6.67496890775252,6.10659320939155,10.5051219196723
"irf5.S",6.54478322130513,0.971189165721373,1.07400076554384
"tfap2c.L",6.18223398162183,2.48107937234941,2.36913587586246
"hmgb2.S",6.16297796407935,4.82286561974082,8.08246028902163
"egr1.S",5.198000932816,3.28447690997477,3.56732427271199
"cnbp.S",4.74679415919086,6.22614350190209,12.3141931259203
"foxr1.L",4.62075987706778,0,0
"grhl2.S",4.6044459301429,1.888938261188,0.626510986791221
"fosl2.L",4.274031583204,7.69797469890984,16.8232567561568
"tfap2e.L",4.21310854824888,0.825545182817081,0.349875337833456
"id2.S",4.16535169824312,4.11544206860407,3.75209126799761
"sfpq.S",4.11863896481326,9.62634385374478,19.1228609890972
"nfe2l2.L",4.10840137259694,4.57050520706659,6.97545937685663
"tef.S",4.02200836443992,1.1104674191477,0.897150380624496
"jund.S",4.00548462521846,5.09473609263045,8.93590742448051
"smarce1.S",3.74791440696243,3.94151585078653,6.82661317631151
"cebpd.S",3.61100936627055,4.79967465242573,8.16769669004345
"stat6.L",3.60270843722406,1.24843288327667,0.206459865437974
"ssrp1.S",3.59671795395765,6.49485024607046,8.92071045134757
"msx1.S",3.54756109273503,2.38393189607516,1.45203053469306
"ascl2.L",3.51473076243524,0.0404868203198786,0
"jund.L",3.4572344232152,3.13929891381046,1.81734186947719
"cpeb1.L",3.18569677377517,1.25117582115749,0.413524534676107
"ddit3.L",3.17521670882149,3.96653884835363,4.42570078249398
"irx4.L",2.9737357797734,0.481573155477603,0.171899533152328
"atf3.L",2.80279079174964,7.39393058111283,8.44844418422993
"myc.L",2.80192787985029,1.24024770515377,1.24117943654397
"hif1a.S",2.77436338155847,1.58311256317337,1.2136652284135
"cebpd.L",2.76909453049239,4.36530118405009,7.63156070804486
"hes4.L",2.64305000542089,1.44283022212571,1.45107304114628
