"","NF48_NF54","NF54_NF59","NF59_NF66"
"nme2.L",34.6709177255391,30.7481134671398,29.6227916035608
"atf4.L",31.6517334205675,39.1949944498787,35.9225315029435
"atf4.S",31.0786765956058,37.5637706727234,41.1431301533472
"junb.L",27.3394916391014,30.2838069097024,27.3713972339812
"fos.S",24.3588445444433,15.08665996739,9.47642878790264
"jun.L",23.5284672013682,17.8101406292079,12.9398317557059
"sox3.L",20.950205331602,1.84374595504957,0
"tp63.L",20.8543099658472,3.85901621223844,1.39486307775008
"fosl1.S",19.2599883083843,38.570773531435,41.1923132892106
"bhlhe40.L",18.514635131613,13.2778682094586,8.69068783051359
"fosl1.L",17.7592171011045,36.8917992766568,35.7367465391577
"fos.L",16.3077662654776,10.0551645305356,6.55811756314952
"jun.S",16.1476951168351,14.3662172193698,8.12230127239677
"sfpq.S",15.3581909966339,17.9922317251923,21.6264654906085
"egr1.L",15.1611391483,6.64710009968321,2.5096825834362
"hmgb2.L",14.7180155023209,14.8059281676314,26.8245389532738
"sox3.S",14.4593546284402,2.20382871734981,0
"junb.S",11.4852670349885,10.1888646024447,6.07975022386264
"jund.S",11.0254812531135,13.5795378913481,10.657231910938
"pax1.S",10.9013183238376,1.32233787782591,0
"ssrp1.S",10.396424913923,10.7782469612216,9.58683876891412
"bhlhe40.S",10.2385073540731,10.6578516657937,2.86618185661999
"tsc22d3.L",10.0748170013792,1.81577556525333,0.955749742269155
"egr1.S",9.21684441412309,3.20764375012595,1.48492958867903
"cebpd.S",9.10879926651586,9.52348433967315,8.12493401604749
"hmgb2.S",7.78092238666301,9.45279643044967,19.257269502286
"cnbp.S",7.4890457647862,10.9815353575768,21.2581163027649
"sfpq.L",7.36454134061363,7.7888579482958,8.11546638806758
"atf3.L",7.25290031623102,11.6567378408301,4.8386749887887
"ddit3.L",7.16716208278157,7.17645816512726,4.05686933173853
"smarce1.S",7.04939490083945,9.31336843077745,12.3106779621955
"ets2.L",6.53701127993986,5.06113149502247,2.68620825466345
"myc.S",6.21711755323166,4.89006874230341,3.71073463524991
"zfp36.S",6.10078431276976,13.1365771460104,27.4875946262119
"foxa2.S",6.07556802559324,0.302455694687007,0
"id3.S",5.74685608352203,1.8181407151338,0.64436814471034
"runx1.L",5.59530383973487,4.89156266140208,4.24383209461046
"tp63.S",5.48731151808979,1.15186744273418,0.0212561506592343
"znf534.L",5.33487149529765,5.07434963716907,0.255807529752814
"cebpd.L",5.26389828450919,6.23138446100262,11.6455831100031
"kank1.L",5.14037201422653,0.539236644881424,0.32561944561944
"nfe2l2.L",5.13065384276839,7.11531517833503,7.87880136177884
"zfp36l2.S",5.05503317190188,1.17097312217169,0.900987434915682
"hes1.L",5.0340273229247,4.50427456910259,2.62382590067581
"hes4.L",4.78447307912216,8.85270711378891,8.0212616215842
"foxk2.L",4.7234317272804,2.80410133867352,0.922085658711576
"klf3.L",4.62121992680681,3.21790807420482,2.01444761406156
"hmgb3.L",4.35279489039076,6.58058381148162,7.75493665263858
"id2.L",4.12934532439672,2.84048758375531,2.71629030348194
"myef2.L",4.11120247274595,5.31833868491946,9.69469401771901
"irf5.S",4.08563554282498,0.506438073619,0.336198640258907
"tef.S",4.0552116034663,1.22991883878863,0.490932998735666
"fosl2.L",4.03175459148744,7.10417371719803,10.4857598141807
"id2.S",3.83020733243358,3.20131288755011,4.44304280558209
"plscr1.L",3.74520843524477,2.58920386188274,1.8564672587098
"hes1.S",3.70358124711752,3.37348597650844,1.41825323986362
"foxq1.L",3.65669674613734,5.99400825569185,4.78644469107559
"jund.L",3.50096441593846,3.64443579021466,2.17407102515288
"nfe2l1.S",3.35942242379047,7.82639464633067,11.6570078310764
"fosl2.S",3.31174118384181,6.0926271409345,7.04593462161183
"rela.L",3.28404050428281,2.78341636002137,3.50771879037526
"ubtf.L",3.24979080425363,2.56402532412603,2.87366974720602
"id3.L",3.17265295644064,0.820843131839757,0.268370896435821
"tcf25.L",3.06226537481806,2.22877054673621,1.96560117029779
"tfe3.S",3.00319531071426,4.47952151228311,9.23990419366508
"creb3.S",2.92045537817357,5.04603856467232,9.56936303018524
