"","NF48_NF54","NF54_NF59","NF59_NF66"
"myog.S",105.181008194129,46.9179534021472,0
"ybx3.L",91.3616013508224,169.27188784884,232.30797579472
"ybx3.S",85.2309915789271,232.999601108127,107.51060782562
"mef2c.L",70.9605426823941,115.307185792634,299.988467759623
"myod1.S",56.6335968451384,16.1186120736932,0
"mef2c.S",35.0655353613235,79.5703886255122,43.1627425721657
"phb.S",30.0901372037424,22.2787279803779,31.6399690659231
"myog.L",28.7861114943602,46.8254846011711,22.6195554276288
"arx.L",23.1453770042806,10.7103374965094,0
"myod1.L",21.991011063744,11.7700688964216,0.39813233927118
"purb.L",10.1199234213944,2.29469972203969,1.5708484435349
"six1.L",7.33196648960994,16.713342231327,27.1505040578669
"nme2.L",6.45552742600883,10.2483003121337,1.8882736065725
"pitx3.L",4.3663017118899,10.3205109735437,4.32006693031674
"purb.S",3.89147541033737,2.58314689025283,7.04995791170071
"srf.L",3.87887739048343,0.547988480934717,0.198800320503592
"hoxa13.L",3.87068629804054,0.0562920372445425,0
"dnajc21.L",3.67249368678002,3.62016089785708,3.09180923985904
"pitx2.S",3.22074752810202,3.48763877589343,0
"phb.L",3.20671827721049,3.14079701618161,3.23896325451005
"casz1.S",3.06493580838923,0.242757885148642,0
"csde1.L",2.95512376935832,2.46378901132142,2.51422772588118
"dnajc2.S",2.84425933390148,1.13062469637514,0.142035279598008
"hmgb2.S",2.60153651973568,2.39041380966609,1.64335584285907
"nfyc.L",2.47581693878772,1.00848484563203,0.00395896959317309
"hoxc10.S",2.41452849007589,0,0
"mlx.S",2.12123948974803,1.2981158342551,0.931029090367418
"hoxc13.L",2.00569782789404,0.499957812855513,0
"atf4.L",1.85624704451608,1.72718153392927,1.41548007399831
"tmf1.L",1.4665215735656,3.00127868767455,1.47035281277586
"foxo3.S",1.4187486083376,0,0
"csde1.S",1.38820197219937,1.07125450272867,0.743314010941693
"foxk2.S",1.35861236154925,1.95809248648806,1.88387547385618
"smarce1.S",1.32613157588052,1.26856076946762,0.464988611794117
"hmgb3.L",1.31632352224736,1.67038758991437,2.91077865813537
"tfb1m.L",1.28788658323235,0.474114771257358,0.381385183888108
"bhlhe40.L",1.22049121086371,0.789987043411427,0.150866359761569
"smarce1.L",1.20251380316531,0.317600613782202,0.107041895034258
"bhlhe40.S",1.10955678470603,0.320192499715803,0.152290758124347
"cnbp.S",1.05187480109157,1.19271050162026,0.487535641078354
"scx.L",1.01847549503924,1.9952297687812,9.79656307683255
"mlx.L",1.0125205720003,1.71189691143516,2.79876276457788
"tcf25.L",0.84282432957629,2.03122150478207,0.364519071869431
"tfam.L",0.698060333889571,0.5008807215486,1.01655671727609
"foxo3.L",0.675464916892615,0.262891732277123,1.06612947349592
"cebpg.S",0.492370839928556,1.31224531484527,0.714856959278959
"etv1.S",0.452449576937935,2.4154754159404,3.02604433536908
"cdip1.L",0.29677419937059,1.23978736332118,2.7919235736731
"atf5.L",0.206496653206044,0.53383658587398,1.76684480718408
"tlx1.L",0.163665412640652,1.92634752514934,0
"bhlhe41.S",0.0249144697340893,5.32807565579708,12.5282290878622
"otx1.S",0,1.11789945769883,0
"six2.L",0,4.42201986787075,1.20556505485324
"znf384.L",0,2.04737203381859,1.02777550079399
"gmeb1.L",0,0,1.89536749760634
"meox2.S",0,0.0585221656167897,1.14003161474135
"nfatc1.L",0,0,1.40153393578867
"scx.S",0,0,1.47783062129197
"six1.S",0,0,10.5518130237142
