"","NF48_NF54","NF54_NF59","NF59_NF66"
"junb.L",67.6797828877782,36.9869904827817,38.8616453704232
"fos.S",62.4368515292642,47.972734396218,43.0067832531282
"jun.S",59.9147101187973,46.6922362171717,46.5534750466235
"cebpd.S",46.410596786481,25.2834263110116,19.4795061584225
"egr1.L",42.8919762564149,36.2421611102211,35.7877775250091
"twist1.L",42.2064130947307,40.4319141890622,53.3508258080763
"jun.L",41.9080966022486,28.1566710721298,26.5804880565244
"fos.L",40.5331385498294,35.3578223479365,28.6691982946726
"twist1.S",40.0586267603848,44.128144495831,56.6765945272693
"atf4.L",32.0193729142216,17.3668380812583,16.7813103166442
"egr1.S",29.4429988867115,22.9411757651892,23.2643618103601
"zfp36.S",27.0760596820687,23.0609672244932,12.0439085475353
"nme2.L",26.4193142789734,13.4351902361478,3.56547670032257
"foxr1.L",25.5578856294064,18.239721016374,11.3898647458767
"cebpd.L",21.7491025525474,15.4805964879019,15.3900060910154
"foxk2.L",20.858161051764,8.13926629877795,6.92072186489498
"atf4.S",18.7962585128589,8.96196293023226,11.2023212683377
"tsc22d3.L",16.0670045630989,16.7787364962539,16.0127399112353
"fosl1.L",16.0654056409114,10.0388626041426,9.48152271057863
"jund.S",15.6490508819506,14.6317442811831,16.212235829714
"id3.S",14.2110227058364,18.2207476023677,23.7865470261113
"junb.S",14.0849805133717,12.7695276422518,11.0395105846528
"ssrp1.S",12.5047641649869,7.73885305594529,6.76055053143112
"myc.S",11.769680072031,18.9126985114702,15.0823318851245
"zfp36l2.S",11.4406466821633,9.15487356309192,9.08495264451746
"ddit3.L",10.6752941538449,4.44191237666873,5.62490775640381
"id2.S",10.3255771372322,6.31190653340078,7.06106730422883
"irf1.L",10.0013869711634,9.76805074224548,11.0567390110144
"nfe2l2.L",9.89013673880493,6.62577813533718,5.33108132683345
"atf3.L",8.74208412429052,10.2622431682715,8.96751094069364
"foxp4.S",8.61505646946087,2.35300303831758,0.850065140859483
"id3.L",8.42174916935563,10.9319169944715,13.7219522758091
"fosl2.L",8.168744579878,9.10785887963293,7.49022948582077
"hmgb2.L",8.04972093810844,4.91693861234005,5.81926830290627
"tcf25.L",7.92635888303125,4.55796248992306,2.27990308787043
"sfpq.L",6.84235843030747,4.15971005152578,7.4121435357829
"hmgb2.S",6.16542054839268,3.97610426589443,2.96889353836834
"klf15.L",5.81635769313649,2.76926137389474,2.61911594482291
