"","NF48_NF54","NF54_NF59","NF59_NF66"
"spib.S",135.932469552683,74.6289822053416,110.645874274225
"cebpa.L",42.3391697734724,3.8581488442306,0.132346593212061
"spib.L",41.9024245270364,34.9941808626677,65.3130544999464
"plek.L",33.9891948095164,16.8693493625594,20.2664850690861
"spi1.S",32.4818256111046,20.333111435177,25.534482963217
"fosl2.L",23.1696859735913,23.0607541742276,16.5150205184074
"nr4a2.L",20.5093685159909,23.1579945795409,12.899955251483
"ikzf1.L",17.968627753284,7.1418933176494,7.48155246075111
"zfp36.S",16.4990454640572,15.7275193083123,7.0689147974768
"mlx.L",16.0484675520213,13.8713267145844,12.0049655940944
"fosl2.S",15.6737036902912,14.8558501257256,8.83833655696835
"tsc22d3.L",15.6210283572336,19.2851409033928,12.6823861051953
"etv3.S",15.2395609847685,12.6402359657415,12.8716473724428
"rel.S",14.0879942472206,19.8006999256924,39.4912339086931
"atf4.S",12.8444835617158,11.1163774995459,4.87702590227243
"maff.S",12.471370391727,20.4758116620693,20.9103705276333
"nr4a2.S",12.2485822318821,14.9105948360448,5.7214202845417
"ddit3.L",12.2469021838148,17.5783689924294,8.84248392830384
"litaf.L",12.0087131515445,8.1888443125532,12.8630574860706
"atf4.L",11.1376133394148,9.73527938326095,3.30149128534051
"creb3.S",11.0952777393202,8.52102037832932,5.82620565834071
"sfpq.S",10.7071107618306,10.8351514654704,7.61147822444992
"ssrp1.S",10.2677018329333,15.5692230942161,6.66927270237241
"tax1bp1.L",10.2266831615313,9.87893837949879,9.2643445426326
"maff.L",10.0980940125769,9.98587679568603,10.1093580156982
"nr1h2.S",9.77272180057335,8.96586184182119,11.826732655963
"csrnp1.L",9.69965950420875,11.1948243956561,12.470416294326
"nme2.L",9.58857905111276,12.0291290632582,3.7560674918955
"rxra.L",8.29847058693695,7.25850657019074,5.54915579333121
"hmgb2.S",7.70856074655694,8.10565147368957,4.08799254103829
"irf7.L",7.68169868563741,5.1312396626075,4.00873184320847
"irf8.S",7.21444382564197,4.14038674845121,9.69741388583517
"arid3a.S",7.18075035091782,7.89075429261368,1.33197119312034
"runx1.L",7.03521377049449,7.67000629123936,13.2129496266468
"cebpz.L",7.03276087342379,19.1795313763526,25.6690027255748
"tfec.L",6.91062571935916,9.01711847510393,5.72231891482763
"bcl6.L",6.70905165876786,6.00759087850976,6.26112600965128
"nfe2l1.S",6.65201286289703,12.4890140472922,10.7411319199822
"bhlhe40.L",6.53992808109896,7.47807480460784,2.95376229265288
"erf.L",6.48363630008015,11.0755248521759,12.0315429848656
"bcl6.S",6.45892624424119,5.1886446674652,3.22978506059277
"nr1d1.L",6.16553308612376,13.943425475495,10.0588354310261
"smarce1.S",5.96638699339564,6.64268128107784,3.40473974300662
"hif1a.L",5.17705949832557,9.25306487399114,7.06463585520606
"junb.L",5.1386369869947,6.77523259951539,1.44054704577887
"atf3.L",5.11716303442716,5.04028962625814,2.84489826324024
"stat1.L",5.00288362687445,4.64844242428636,4.8592323413935
"nfe2l2.L",4.8579547653557,4.85538132527288,4.70886533510141
"tfe3.S",4.72811909728137,4.36573453307723,3.52050465935328
"ets2.S",4.71376569766588,0.719462374586926,0.0839407283262718
"znf277.L",4.62650034765981,4.98317946077666,2.39129266940513
"myef2.S",4.625843541866,5.04096782349461,4.56846736488964
"smarce1.L",4.54972432808456,5.84881109515129,3.12885279575408
"hhex.L",4.52718054598228,3.23800198527907,4.069887740116
"hmgb2.L",4.46346227522852,4.70426318287245,3.0739822819074
"tgif1.L",4.32996027515372,2.22700810690743,2.44053578691067
"jund.L",4.31576014126349,5.31446223938364,2.89973566241581
"mxd1.L",4.23618423280206,2.72396764866926,2.19070537973412
"id2.S",4.0578509281299,3.26943191539574,0.331378661369881
"ets2.L",3.9704403292012,0.477894893936197,0.105666316933365
