"","NF48_NF54","NF54_NF66"
"tfap2e.S",414.768469475009,474.390430774992
"bhlhe41.L",173.521590350842,114.898747790413
"tfap2e.L",112.093222454346,93.9583245089777
"bhlhe41.S",83.7611711056793,60.7235274448697
"sox10.L",75.0252662718212,117.212232398309
"sox10.S",66.1006759479102,93.8695176330683
"pax3.L",13.6055998032434,29.7485048493018
"mitf.S",8.1491228627273,8.32527625857951
"tef.L",7.84549947860113,10.5255706171854
"msx1.S",6.58436039768929,3.67368808623642
"bhlhe40.S",5.74862323156894,1.44782977494659
"tfap2a.L",5.52263490158685,0.0530737166664815
"hlf.S",4.60892692608192,12.291529424095
"mef2c.L",3.55958512675641,3.02874377432151
"bhlhe40.L",1.79092554967241,0.267366070334304
"pax3.S",1.71167021631061,5.97290579845993
"blzf1.S",1.64515723068902,0.566307115682361
"nr1h2.L",1.32719943056679,0.370837961792852
"snai2.S",1.2226933751814,1.21503891964388
"klf4.S",1.16671826015156,1.41876469954109
"id2.L",1.09363262256904,0.670702457625419
"foxk2.S",1.04437101256452,0.258202760183701
"nr1d1.S",0.902748697338796,1.40940529235818
"nme2.L",0.743827619663281,0.0670752448988666
"foxk2.L",0.731548701144756,0.280398190383676
"tcf25.L",0.710148057971601,0.0974867202046275
"znf277.L",0.591446710162597,0.0634877577871563
"cdc5l.S",0.493596236560413,0.241466957623635
"smarce1.S",0.48752375678715,0.119806926047955
"cnbp.S",0.483358358280522,0.0857686785524518
"dnajc1.S",0.455693086907999,0.0851496286974803
"mbd3.S",0.404161712596102,0.0885143600292498
"ssrp1.S",0.388290614220532,0.174220284596479
"myc.S",0.376789587269759,0
"nfyc.L",0.353025857339501,0.204774326984561
"nfe2l2.L",0.351272355311606,0.194625737246805
"phb.L",0.349378918312328,0.184234302577663
"tsc22d3.L",0.322100948445153,0.602379763305439
"gmeb1.S",0.32050055280978,0.238957179566352
"cdc5l.L",0.320442229640301,0.191904432135415
"atf4.L",0.282855633915058,0.237126489671691
"arid3a.S",0.243174769412853,0
"myc.L",0.235235630062937,0.267961481632596
"khsrp.S",0.230373083497227,0.068857545654603
"nkrf.L",0.223234097493394,0.158096357140462
"hmgb2.L",0.189756683712644,0.0631818342859947
"phb.S",0.187488823506901,0
"hinfp.L",0.167969026476398,0
"smarce1.L",0.139515355487864,0.0790245181326429
"znf384.L",0.122239100568065,0.00709970906810062
"smarca1.L",0.121175222742097,0.0154786111106846
"hmgb2.S",0.111323117299796,0.0357662203400902
"sub1.S",0.0994648278633073,0.00937791278000812
"tmf1.S",0.0991799008969006,0.0321642513381816
"stat1.L",0.0980228054741123,0.0817366474014526
"nfyc.S",0.0897595838944649,0.0309909443106532
"znf605.S",0.0860193697707727,0.0784288786883239
"rela.L",0.0804048905466548,0.0594186659306782
"cebpz.L",0.0803151724276222,0.0693983562013593
"znf276.S",0.079986246034005,0.0247433098672993
"dnajc21.L",0.0718178379554668,0.0068904572781468
"arnt.S",0.0688188088450568,0.0164101250863039
"stat2.L",0.0497609424932338,0
"baz2a.L",0.0463491287128533,0.18276602911711
"sp2.S",0.043419836014753,0.0576507220141954
"dnajc2.S",0.0384433127202615,0.013878189150866
"setdb1.S",0.0342204488619576,0.0203887699779019
"tfdp1.L",0.0328045939663255,0.00873497031230314
"sub1.L",0.0303098513858204,0
"rfx1.S",0.0239256931962094,0.0367527006040275
"smarcc1.L",0.0238277301183733,0
"max.L",0.0225146715137209,0.00151726456919495
"gmeb2.L",0.0105490966757343,0
"gpbp1l1.S",0.00790745862078088,0
"arid3a.L",0,0
"csde1.L",0,0
"e2f1.L",0,0
"e2f1.S",0,0
"foxn3.L",0,0
"gata1.L",0,0
"gata1.S",0,0
"gfi1b.L",0,0
"gpbp1l1.L",0,0
"hmg20a.L",0,0
"hsf2.L",0,0
"ikzf1.L",0,0
"irf2.L",0,0
"maf.L",0,0
"mta2.L",0,0
"mxd4.S",0,0
"myb.S",0,0
"nfe2.L",0,0
"nfe2.S",0,0
"nfya.S",0,0
"runx1.L",0,0.69635860369586
"tal1.L",0,0
"tal1.S",0,0
"tfam.L",0,0
"tfb1m.L",0,0
"zbtb45.S",0,0.0473683112404783
"zfp36l2.S",0,0
"znf217.L",0,0
"znf326.S",0,0
"znf577.S",0,0
