"","NF48_NF59","NF59_NF66"
"myod1.L",187.177393787191,211.268630171342
"pax7.L",100.471757530405,235.797629277009
"myod1.S",25.9422694922126,17.7077673310804
"pax7.S",22.5108929721821,73.1030186263629
"hey1.L",22.4665480981122,52.6318042612636
"msc.S",22.0423626600595,185.854451035178
"sox8.L",20.741350820343,14.1069662444994
"myog.S",18.9351919105513,1.40980389718724
"myc.S",15.7766355538838,4.62068136763846
"myc.L",12.5812080305134,2.18047459760402
"pax3.L",12.1833622143276,2.33718004422778
"pax3.S",11.6295211165208,0.78933400650957
"hey1.S",9.95790600899865,33.667164023316
"fosl1.L",8.66943228655238,1.45086962042892
"id3.S",7.91250433506593,12.7491984166478
"myf5.L",7.59466199592403,12.0807866203222
"hmgb2.L",7.41980291548004,1.04922791448652
"junb.L",7.15644709275977,4.98311948549557
"hmgb3.L",7.07146996891266,1.02299311290969
"pitx3.L",6.60262162713351,3.00208053350466
"atf4.L",6.19194599149656,1.86186331009527
"id3.L",6.04963959688663,10.20754748211
"myog.L",5.97743105887239,0.373835515030309
"egr1.S",5.80092727806736,5.33093984463104
"fos.S",5.64243249312845,6.05863529810532
"lyar.S",5.63038393663053,0
"hmgb2.S",5.57763495580092,0.608436376549718
"nme2.L",5.47511592220918,0.395822270484807
"myef2.L",5.38878918773203,0.781667970416614
"jun.L",5.35803785117886,2.49205041251172
"zfp36l2.S",5.25220270020595,3.98326664755613
"jun.S",5.0554475460869,3.74924271118922
"cnbp.S",4.95803421566201,0.445582320451512
"atf4.S",4.63537741656136,1.28410140309374
"irf1.L",4.46545218574185,0.837086572041895
"ssrp1.S",4.39989550398323,0.86573209531954
"egr1.L",4.00876776933169,4.92895467369092
"sfpq.S",3.99603186490787,0.499476996379445
"fos.L",3.61647106022455,2.67156341584603
"dnajc21.L",3.55419127807995,0.830195610321734
"dnajc2.S",3.53751094318519,0.0316260120740926
"sox8.S",3.39056712800385,2.44528573549732
"sub1.S",3.26030038059747,0.152674258434436
"smarce1.S",3.24235287910177,0.66950195480313
"foxk2.L",3.15598452593637,3.355341322844
"myef2.S",2.86472658159061,0.0409012221310915
"tcf3.S",2.83245730271055,2.33182275173348
"sub1.L",2.81214650481609,0.168263182746187
"cebpd.L",2.76194839241277,2.4082268015903
"myf5.S",2.6747023851454,10.3946995299157
"jund.S",2.65812718655152,0.919458113121266
"phb.S",2.63170176032267,0
