"","NF48_NF54","NF54_NF59","NF59_NF66"
"npas4.L",134.645112380271,115.147650379511,44.9976795241679
"arnt2.L",80.0068295526321,56.3036695982839,34.7107601505963
"jarid2.L",42.6814634707068,12.8720109361899,4.97924738807228
"jarid2.S",39.5879076996784,11.9038587702076,0.663701758835226
"hmgb3.L",37.2212741996617,9.02468438997496,3.49560319979217
"tub.L",25.3691803009316,15.8045118013049,13.5812896336496
"myt1.L",19.8429221400358,31.8320017232001,11.5188543082106
"nhlh1.L",19.7946026757512,35.6007489516347,6.23869546718135
"cux2.L",17.2237694300205,4.84389291849523,3.9903564265007
"baz2b.S",16.4696411058651,11.7683256121082,4.84397479206997
"pax6.L",14.9579680010526,42.1842313212869,0
"l3mbtl1.S",14.3002891633467,5.17075457001185,0.944109026615508
"myt1l.L",13.7701913891026,17.4615766252947,12.4135390603492
"tox2.S",12.9218856114417,0.460125520346671,0.0497141344399686
"zic1.L",11.6148294470263,9.3621216506052,0
"pou3f4.L",11.4650016651394,1.35294870487801,0.967261705904789
"tub.S",11.1046397215355,9.79032920359712,12.1899158801479
"prdm8.L",11.0757004965136,2.25518960778941,0.769725626651761
"otp.L",10.6709154677811,0,0
"pou3f2.L",10.5110752060363,0.47401403389409,0
"pax6.S",10.0190740020841,32.8583594687328,0
"esrrg.L",9.9556358291221,0.513783838732461,0
"zic1.S",9.35299648138851,10.9374001279306,0
"pbx3.S",8.71482779929943,4.67047337351665,0
"id4.S",8.09422891968814,1.0651909617461,0.550670026881762
"baz2b.L",7.47078496947459,5.23748123946096,3.33730920747517
"tcf7l2.S",7.45565937989731,0,0
"tox2.L",7.21402675882389,0,0
"phox2b.S",7.05316081507098,0.322158367665076,1.82428618045788
"zfhx3.S",7.0381203633136,0,0
"sgsm2.S",6.94428994226945,6.93588846533605,8.7600220530229
"rcor2.L",6.76354509691173,12.6557578573748,6.08390187390866
"lhx1.S",6.61037571733344,0,0
"ssrp1.S",5.88744699622223,2.24152814616032,1.33682921937104
"atf4.S",5.81613010285902,1.61038008146363,0.833849667752067
