"","NF48_NF54","NF54_NF59","NF59_NF66"
"hnf1b.L",245.192717735041,138.535500445568,92.2726362311138
"hnf1b.S",215.784782985601,209.466025725512,96.0270360619265
"pax2.L",37.5189750592938,86.9771794007229,49.8049601072866
"pax8.L",36.4963824623378,62.7738385335638,51.3725047685875
"pax2.S",26.098719347924,71.5688143751179,43.1265585867361
"phb.S",11.6596077569678,5.81467510267492,3.68542971095994
"nme2.L",8.44155995066794,11.684056741824,7.29568072182182
"maf.L",7.15056959258694,7.62287232563161,8.00634432165957
"foxr1.L",7.0316176686623,26.0315704536939,128.305610611642
"atf3.L",6.44479600703812,3.45900155177134,4.50820320363964
"thap4.S",6.41525993257969,1.46972357090788,0.166627795688142
"tfe3.S",5.90496879650292,8.39830872371522,5.88177195503015
"ar.L",5.62059801293313,2.30150005111209,0.447824630879649
"tef.S",5.45281125726245,9.22623703124665,11.7563140545264
"sall1.L",5.14292966053158,12.7944372970535,48.72284834598
"phb.L",4.73582882346916,4.09958349908382,4.37569901019614
"jun.L",4.35696249953377,4.20834899807136,6.73613816546327
"nfkb2.L",4.24841028862289,5.26204274908476,4.53726726907633
"lhx1.S",3.96546023611575,13.3107108939818,6.31170897473154
"purb.S",3.64796747483208,6.46681134580907,4.26209338140099
"fosl1.S",3.64058173877218,3.79141161647235,2.72579613026387
"cebpd.S",3.63821061347707,6.79875057382627,14.0921388275657
"znf608.L",3.57208347695297,6.19599165919941,11.6169039951126
"klf10.S",3.32140087011127,6.94338431803157,8.65100977179441
"esrrg.L",3.26354208245556,1.60082948513972,0.113928653748218
"zfp36.S",3.17969021285353,4.67963333704219,6.19275871676222
"junb.L",3.00056601549525,3.6627108294483,5.85826053847241
"ssrp1.S",2.98341477370405,5.76126035289896,7.56446116059822
"sub1.S",2.86204595286258,1.58948131903669,0.683207062704878
"atf4.L",2.75208931662816,2.52606098889755,2.9544993207005
"esr2.L",2.6431426201061,4.77363655452854,17.7136932608491
"irf1.L",2.58378410838092,11.0693956140882,8.13636427426241
"irf2.L",2.32278736267678,0.747855356393097,0.106977555149239
"sfpq.S",2.17857740356017,1.79326024051052,3.08236899705966
"tcf25.L",2.12357187561427,4.52227600371521,6.81334386938653
"maf.S",2.1215240946556,0,0
"srebf1.S",2.11973769091335,0.971088666732088,0.894621645595544
"fosl1.L",2.05122336885309,2.93008193528191,3.57501629173717
"gmeb1.S",2.04989168318568,0.370054277719211,0.178847984804941
"nfe2l2.L",1.99110684328415,1.13183980359495,2.10318417832006
"smarce1.S",1.90981160717724,1.68164823627115,1.43842988301998
"cnbp.S",1.8993526908716,2.05273777128643,1.2005224517656
"carhsp1.S",1.8743836718229,1.25011911313231,0.62175431541738
"hif1a.L",1.77701304629597,3.879423871821,8.14906457931566
"hmgb2.S",1.68189685003346,1.53439849538429,1.78517981287659
"jun.S",1.66816077938206,1.62178363227747,2.12582081178211
"hmgb3.L",1.65708727367685,2.99816412557591,2.17901169865401
"nr1i2.L",1.62580063265462,0,0
"creb3.S",1.51077637520724,0.5403840412381,0.887613400914759
"bhlhe40.S",1.48936977152844,2.48865173285893,1.63771655088113
"mlx.L",1.42847177455183,1.59662228044648,2.59112551564018
"atf4.S",1.35657664941383,1.04857768416524,1.04823522185992
"nfe2l1.S",1.33370679902238,0.235245751905113,0.28652749089866
"tef.L",1.32807559062674,0.393374663724656,0.166228408157299
"cebpz.S",1.27064711707018,0.0149543506540934,0.0062577983402137
"sim2.L",1.22038726568306,0.836913664065071,0.0564120159960733
"nr1h2.L",1.17816130146861,1.54450426365256,1.34088587870982
"osr2.L",1.17044912286183,0.603120078971161,0.283542160558036
"foxo3.L",1.1493907647722,0.748948683465575,0.701934739282245
"fos.L",1.14121865439584,1.68944054932442,3.56328364294471
"ybx2.L",1.10550108584756,0,0
"nfyc.L",1.08186092867724,0.297962016145366,0.19220610794569
"rel.S",1.07214718893887,0.937669640071828,0.802684423191904
"tfam.L",1.05528098301886,0,0
"gmeb1.L",1.00504689849882,1.17666501344885,0.367687313727275
"tgif1.L",0.996987134170406,3.14252005520775,6.02262239931501
"znf608.S",0.972035883387453,0.750936573530507,1.12749931523443
"myef2.L",0.950676555185349,0.87393288056049,1.47575749511621
"fos.S",0.945150183642564,1.43299769219416,2.14897525422452
"mlx.S",0.943482662998482,1.13868952957366,2.30689070032445
"max.L",0.93502056005167,0.3137015040643,1.19949813629117
"egr1.S",0.894223813240116,1.53186859845301,0.950967957147557
"tax1bp1.L",0.865287839761526,2.7177113339456,24.8985076544333
"tmf1.S",0.862505039649399,1.48594103358227,0.443363312796405
"bhlhe40.L",0.854887461576181,1.83625560324051,1.87187987751728
"cebpd.L",0.838397825982,1.87825141237433,3.35828179520331
