"","NF48_NF54","NF54_NF59"
"sall2.L",117.459284594031,0
"sox3.S",43.1368735084818,0
"otx2.L",35.4806659424617,0
"pax6.L",21.8244377174257,0
"sox3.L",19.4509221794232,0
"zic3.L",18.7674939959806,0
"id4.S",17.3729579018898,3.14070922269144
"pou3f2.L",16.2251281133483,0
"pax3.L",15.9490242031344,6.79877280472358
"hey1.L",15.8803003258186,10.888832522368
"junb.L",15.2286543386827,5.09654248644154
"zic1.S",15.152162620152,0
"arnt2.L",14.4449857035528,14.6944758737894
"fos.S",12.3168641054751,5.18293268186067
"zic1.L",11.8641424844908,0
"hey1.S",10.959745081279,5.4979428626185
"pax6.S",10.1860748338097,0
"zic2.S",10.1155051738099,0
"pax3.S",10.0129437530264,4.43998596307051
"znf219.S",9.96238581380782,3.58102432822435
"fos.L",9.9493791016071,3.8440747958562
"zic2.L",9.87307068410716,0
"zic5.L",9.71351830785245,0
"hes1.L",9.32410815920284,6.07827652186611
"hmgb3.L",9.23874150002244,6.20721971470704
"jun.L",9.20354051618524,4.99479889072348
"egr1.L",8.42803311596275,4.25983392154646
"irx1.L",8.18436493126121,0
"id2.L",8.00898273989833,3.11177834040823
"dnajc1.S",7.9992678957277,1.94950690075254
"egr1.S",7.87680431079804,3.64758695325231
"fosl1.L",7.21225358589414,2.29553710651054
"pou3f3.S",7.08173133641252,1.44893607956984
"znf326.S",7.04835589753927,3.3922479852015
"sox1.S",6.87777794315543,0
"jun.S",6.79648180779177,5.18650636639829
"otx2.S",6.60840241488714,0
"foxr1.L",6.49054201217421,0
"znf219.L",6.11680214367224,2.59853193799863
"atf4.S",5.63820560175071,1.53545196624294
"foxk2.L",5.61528431042174,0.862084043080639
"ssrp1.S",5.55593847218188,3.43759815044627
"en2.S",5.46309441719723,0
"jarid2.L",5.17790392400242,3.7268628085539
"hmgb2.L",4.87834042221878,3.16002789714583
"meis2.S",4.65282368209257,0
"zic5.S",4.54691739044617,0
"baz2b.S",4.37598546310511,0.36100691648984
"en2.L",4.27865570011308,0
"jarid2.S",4.24828403836284,0.78242775417718
"foxk2.S",4.11638858388751,0.629274576663025
"jund.S",4.09788922925599,2.06734778741686
"nme2.L",3.91517330790741,0.546524488883109
"foxj1.S",3.74871033076525,0
"irx5.S",3.60140370710878,0
"foxj1.L",3.58877657803884,0.272805757181711
"junb.S",3.5389470092953,1.89894120932785
"hes1.S",3.50400810639153,2.60321309897431
"myef2.L",3.42120136273265,1.94356766553301
"hes4.L",3.38730511840015,3.58818503311204
"nr2f2.L",3.29918369731829,4.24979305197589
"id3.S",3.10491985109471,1.02728316652774
"cebpd.L",3.05642381915208,0
"otx1.L",2.97697014061551,0
"id3.L",2.84110875492102,1.06324747973138
"baz2b.L",2.79209708219889,0
"sfpq.S",2.77720923986906,1.7195965854388
"nr2f1.L",2.75127340333431,0
"sox10.L",2.72069696278081,36.7692221757826
"gli3.S",2.71879301354093,0
"atf4.L",2.70113608103812,1.71866278289275
"hmgb2.S",2.64325164105209,1.79890872625814
"zfp36l2.S",2.55407594383586,0.958405507707599
"not.S",2.51341876682148,0
"sox1.L",2.40696823813264,0
"gli3.L",2.39367907749524,0
"pou3f4.L",2.37429627871315,1.02469740581485
"smarce1.S",2.28513449855594,1.79067111265112
"sp5.S",2.27495083015874,0
"fosl1.S",2.26807548429547,0.373242432197571
"sox9.L",2.25800945483581,0
"id2.S",2.24045706865267,3.00466623023394
"dnajc1.L",2.22000752804952,1.02331352756077
"fezf2.L",2.21776059555555,0
"sfpq.L",2.21726139347321,1.32029735048765
"cnbp.S",2.05992148626412,0.811875869782467
"ddit3.L",2.03827036760236,0.941485429539674
"mycn.L",1.97718203856215,0.701227925682596
"neurog2.S",1.87233971418336,0.140569199345369
"tcf25.L",1.80353605688816,0.308970616118102
"sox10.S",1.79950185501953,20.5729224270162
"znf423.L",1.75982462861249,0.0713254370823368
"irx3.L",1.73650823487384,0
"khsrp.S",1.71218888809698,0.547941371994701
"atf3.L",1.64512033623171,0.916600803078485
"sox9.S",1.6269664360909,0
"tsc22d3.L",1.58401053327462,0.360325030093571
"pax7.L",1.52042834613826,0
"tox2.L",1.51283176444489,1.27998511851928
"cdc5l.L",1.44980303553039,0.499186394154808
"tef.L",1.41980013987661,0.232257278978575
"dnajc21.L",1.31182774004254,0.20735259631255
"foxp4.S",1.28330216780085,0
"nr1d1.L",1.26147380490206,0.130921408130983
"msx1.L",1.24960317466664,0
"fezf1.L",1.23640471977783,0
"pou3f4.S",1.23188622768007,2.13673674106903
"tgif1.L",1.2311866263491,0.36370587839102
"myt1.L",1.18735837934826,0
"cebpz.L",1.18158235033947,0.329524396117088
"mycn.S",1.17129625086953,0.623404802873616
"pbx2.L",1.16940963501994,0.850261537635863
"znf326.L",1.13779921630938,0.632182428700859
"irf1.L",1.12882386803183,0.488029084512933
"nr2e1.L",1.07125440410675,0
"elf2.S",1.06385454483847,0.942206335592728
"nfyc.S",1.02191135307716,0.211585652269674
"bcl6.L",1.0038706374634,0
"znf653.L",0.980378340912103,1.25649723255343
"tub.S",0.962454311966809,9.85465796057809
"nr2f2.S",0.960630375743404,3.0448843487675
"bcl6.S",0.906218846656986,1.40964608949139
"egr2.L",0.879249399193902,2.88065845733494
"cux2.L",0.691830889391108,0.359651657483223
"sox13.S",0.682158300968725,1.64717010711897
"neurod1.L",0.668299092848699,0
"olig2.S",0.606456533090134,3.51514051690514
"zbtb5.L",0.532178836541412,1.00493364207731
"pbx1.S",0.427862017038175,0.716329166428026
"sox8.L",0.411975672172115,1.02018715634967
"tub.L",0.120062290253487,0.933207337800432
"rcor2.L",0.0877615050135495,0.387627544087449
"prdm8.S",0.0558571741801946,1.96493341660916
"tcf15.L",0.0305581469863222,0
"etv1.L",0.00750217713226396,0.028955718808199
"carhsp1.L",0,0
"cpeb1.S",0,0
"dlx2.L",0,0
"ebf2.L",0,0
"ebf2.S",0,0
"egr4.L",0,0.0495854944610638
"fezf1.S",0,0
"insm2.L",0,0
"isl2.S",0,0
"lhx2.L",0,0
"lhx2.S",0,0
"myt1l.L",0,0
"nhlh1.L",0,0
"npas4.L",0,0
"phox2b.S",0,0
"sgsm2.S",0,0
