"","NF54_NF59","NF59_NF66"
"msx2.L",24.7239471980619,5.83072475919675
"sox9.L",17.9605752313367,10.9686427440167
"jun.S",13.3255083182475,9.66252606235859
"fos.S",12.3540516565717,9.28375429977115
"junb.L",9.85335368487558,7.7641535280876
"fos.L",9.82985312164011,7.08377550769327
"hey1.L",9.81134445350807,21.8458997493797
"sox9.S",8.84396765587024,7.77936518244628
"jun.L",8.4754664193143,7.18584975084696
"dlx2.S",7.6287101216243,0.12217186779015
"snai1.S",7.53541702608866,3.41289551312252
"foxk2.L",7.49396541818796,6.71301763121063
"prdm6.S",7.18958218129959,28.4564103529373
"zfp36.S",7.04152046065249,3.82028102146473
"irf1.L",6.92994626963816,5.70251426013767
"dlx2.L",6.29647254250427,1.05538820077279
"id3.S",6.26399896946217,7.06525069282879
"id2.S",6.2293376998574,7.02868470151804
"twist1.L",6.00577209025647,2.48020309638673
"myc.S",5.73663180424638,10.1625597659663
"glis2.L",5.66579540873507,8.03638170840571
"cebpd.S",5.44539803749242,2.55679812292571
"osr1.L",5.38479517278659,94.3685047714889
"egr1.L",5.22922395431578,3.97859922911266
"cebpd.L",4.81761139180549,2.23277874770638
"msx2.S",4.70190030480303,0.721996588952841
"foxp4.S",4.67255512985422,6.26025079175391
"nme2.L",4.44322388295227,1.80364215219931
"hmgb3.L",3.70798321682633,1.9385539963026
"id3.L",3.67204487855288,3.80424057574965
"smad7.L",3.65984808117823,4.49389145288377
"junb.S",3.48012917037309,1.63881590223128
"myc.L",3.4188397649378,7.70839572159765
"egr1.S",3.27132261312185,3.3630972698292
"smarce1.S",3.21609811744913,3.75562289637227
"atf4.L",3.15630462376459,4.73101412460385
"nr2f2.L",2.8598134612558,2.39388972556394
"hes1.L",2.639535980489,1.9850220615765
"jund.S",2.58872320317274,4.52377931403345
"id4.S",2.56550231928559,7.13904733698686
"tsc22d3.L",2.56091790832464,2.46303054309192
"hes4.L",2.47795351693496,1.96031854907663
"dlx5.L",2.4758348468317,0
"id2.L",2.3730263218191,2.38471790329461
"hand2.L",2.35928572131591,4.08245547993484
"hoxd3.S",2.27925560231357,2.24213987125256
"nfe2l2.L",2.19792392473315,0.807111107333448
"nfib.L",2.15349626078933,5.07422267195735
"sox8.L",2.12266899464541,2.43901699922601
"purb.S",2.10981349038321,5.32254642249266
"atf4.S",2.00639100254997,4.09311595923722
"fosl1.L",1.99041529989767,3.27614582596009
"myef2.L",1.95941863482708,1.97432463445112
