"","NF54_NF59","NF59_NF66"
"esrrg.L",348.355017650619,280.911042838291
"esrrg.S",141.137703818078,61.6286272480807
"gata6.S",56.6270511329999,43.9204715576789
"nr0b2.S",54.4766533740419,58.199496564419
"nme2.L",44.697803755274,41.7604927678074
"phb.S",41.4163850979699,22.0378596918674
"znf750.L",40.8345037121156,20.5134486448498
"gata5.S",24.6247852136582,11.4336552589429
"bhlhe40.S",19.4785030245657,16.3306165950081
"ddit3.L",17.0279978876402,11.9494018344678
"phb.L",10.5155055300096,7.89705315222881
"nr2f2.S",10.5043623586433,11.1018669306184
"nfyc.S",10.4477141945725,6.8723271908221
"nfe2l2.L",9.21778837915379,6.34661761463568
"foxa1.S",9.2077667249686,20.2541856277823
"atf4.L",8.66604440415354,19.7508453381198
"thap4.S",6.91549867361425,3.83156133506964
"nr2f2.L",6.75675741235093,4.53069324560577
"hmgb3.L",5.94192941226887,4.95910589226424
"esrra.L",5.41007528149475,0.4123760733776
"foxa2.S",4.29545745469591,3.75472114448105
"myc.L",4.2231448414464,4.59631717190574
"mecom.L",4.02298250110201,0.990603065291605
"cebpd.S",3.97739299284538,2.96425946773994
"id2.L",3.84733758868628,7.47328837984516
"mlx.S",3.66439950282504,4.19376359963817
"nr1h2.L",3.61630886047587,3.24345134240559
"ssrp1.S",3.48682236202346,4.76848883267245
"foxa1.L",3.29076679377574,3.11181134787521
"kank1.L",3.07981274550489,1.69028323819364
"purb.S",3.05086905178419,4.1487656553597
"hdx.S",2.94034880603989,0.150449014266454
"atf4.S",2.88673853795744,5.66767366592523
"jun.L",2.87893732002359,5.51936979489238
"ncoa1.L",2.75639045865973,1.33656205093602
"tef.S",2.73808956137257,1.45138747732275
"cc2d1a.L",2.39904186830796,0.593485789709212
"znf534.L",2.32637944594803,0.917118634727498
"smarce1.S",2.26491426216272,2.74979740980166
"foxr1.L",2.17606376901739,3.14390766867274
"sub1.S",1.96138315589895,2.95006526319429
"mlx.L",1.95451316700306,2.36241199194588
"tfb1m.L",1.94412056457846,0.976446082024249
"foxk2.L",1.89478813828011,1.77011277235114
"dnajc21.L",1.81630601932221,0.889865693014688
"plscr1.S",1.78097054007894,0.212936758683305
"irf5.S",1.77186209299314,0.428651033276387
"jund.S",1.74336190075576,2.23275160910655
"pbx2.L",1.71828367318851,0.288947776134013
"sfpq.S",1.71207378927817,3.7540679281365
"klf11.L",1.69918973999479,0.486354941836646
"id2.S",1.66663844772755,4.15309024839342
"zfp36.S",1.65667496325933,1.40920728530863
"tcf25.L",1.60818051314147,3.01139135476757
"junb.L",1.60814397496331,4.77874097297257
"myrf.L",1.58300353092835,2.01213524009758
"gatad1.L",1.55113933993288,0.199606163109716
"nfyc.L",1.51932929137259,1.93198559818013
"dnajc2.S",1.50249189984704,1.14367206939318
"bcl6.S",1.35074905659865,1.117461652813
"ets2.L",1.34700192012003,3.00799277375685
"nr1d1.S",1.31364123923486,0.339291454766692
"smarce1.L",1.27424164504553,2.31498695726661
"tmf1.S",1.16499155778973,0.592187324214118
"rfxank.S",1.14513571356005,0.729521125225006
"myc.S",1.11212038733302,2.01684837842872
"gmeb1.S",1.09209684949243,0.544815112257757
"jun.S",1.08535964307372,2.64595240590349
"id3.L",1.05417967959414,3.57220147469231
"egr1.S",1.04748973959573,2.72244520939962
"foxo3.L",1.00972387896312,0.559607154730059
"hmgb2.S",0.984697704979689,1.99712220354223
"egr1.L",0.952994436777432,1.95617656045358
"hoxc5.S",0.95286853254495,2.52384103290262
"tsc22d3.L",0.949443818214552,1.67379936257843
"klf10.S",0.926430423549083,1.05661879518332
"cnbp.S",0.884776841261157,1.24192751513376
"znf277.L",0.857297613515503,1.14275958345426
"foxp4.S",0.848272593003176,2.40876048169696
"csde1.L",0.816528428033648,1.48204582295769
"id3.S",0.639161961913092,2.67602489130856
"nr0b2.L",0.624594942630759,3.02347322750691
"dnajc1.S",0.516763933348585,1.19275896716775
"fos.L",0.449779726070339,2.52631309574673
"fos.S",0.29697476848706,1.26581874372278
"nr1i2.L",0.237165056634968,0.336133179673618
"dach1.L",0,0
"dach1.S",0,0
"foxi1.L",0,0
"foxi1.S",0,0
"gata3.L",0,0
"gata3.S",0,0
"hnf1b.L",0,0
"hoxb7.L",0,0
"hoxb7.S",0,0
"hoxd3.S",0,0
"hoxd8.L",0,0
"hoxd9.L",0,0
"hoxd9.S",0,0
"lhx1.S",0,0
"myb.S",0,0
"pax2.L",0,0
"pax2.S",0,0
"pias2.L",0,0
"pou3f4.L",0,0
"pou3f4.S",0,0
"tbx2.L",0,0
"tfap2a.L",0,0
