"","NF48_NF59","NF59_NF66"
"twist1.L",37.5690358313036,36.1755747494638
"twist1.S",30.3118137531394,21.2392512685819
"jun.S",22.3353810920886,19.7821704450485
"jun.L",18.0868956989933,13.5617574023021
"fos.S",17.9400131534585,13.8003489149966
"meox2.L",17.9019972627582,34.4184717805334
"egr1.L",17.2106775523414,21.641484497073
"foxp4.S",16.3006536846929,22.7117871527258
"junb.L",14.7623123191583,9.91942981467237
"fos.L",14.0703138791348,13.2655185585896
"egr1.S",13.7637886013394,15.2072626114591
"myc.S",11.3466654078102,6.00158959903861
"id3.S",10.4199226445466,9.39576467851444
"snai1.S",10.0466681994186,10.0549763594547
"meox2.S",9.13383786015326,19.5618739923078
"atf4.L",8.79277354665365,3.03423211561152
"jund.S",8.15330967132705,4.61320365292544
"fosl1.L",7.99546162580088,1.02719371751888
"atf4.S",7.33617211879131,2.67968368991673
"id2.S",7.03193445174462,5.8179315533114
"sfpq.L",6.91846799889189,3.37967002956543
"setbp1.L",6.69689493025292,5.41645223764379
"id3.L",6.64437131991284,6.44337865110423
"tsc22d3.L",6.59637010018469,5.67719631167653
"ssrp1.S",5.95053877194949,4.12140425468285
"atf3.L",5.13977615679416,1.134192269587
"cebpd.L",5.02707581476347,1.78503628549861
"zfp36l2.S",4.8272563524483,3.81115963951371
"smad7.L",4.56252932611886,4.65994018613975
"zfp36.S",4.4896752286734,1.4756234039966
"msx2.L",4.43714854673252,2.73634303056721
"junb.S",4.3503188703252,5.09679997682235
"klf2.S",4.21026241424242,8.22849373137946
"tfe3.S",4.20169323549402,2.52035333781659
"myef2.L",4.1670556951961,2.29525732008872
"setbp1.S",4.07055204934636,2.40554207088126
"sfpq.S",4.04707195731653,2.36397686281691
"mecom.L",3.90882162110683,0.743581440125956
"ubtf.L",3.8298013456915,2.81000521164333
"tcf3.S",3.70684218014932,2.96499552351136
"id2.L",3.70152313778271,4.91412511364403
"hand2.L",3.68036375127201,1.50169208899325
"nme2.L",3.6396617536418,0.951664176822484
"hmgb2.L",3.58120080527908,1.88707680888456
"myc.L",3.58095683604673,1.63250461657115
"glis2.L",3.46266999825239,6.67558455796731
"hes4.L",3.45423581017576,1.91434194357429
"ddit3.L",3.39483033864901,0.6601757105886
"cebpd.S",3.3208712140722,1.41603471567844
"smarce1.S",3.18618000917889,2.91523408996737
