"","NF54_NF59","NF59_NF66"
"tcf7.S",113.316700838298,109.572775491733
"ikzf3.L",67.6294321645735,77.5096763239665
"hmgb2.L",60.0987401607451,33.1789722761858
"hmgb2.S",53.9072506084598,28.6023080545533
"tsc22d3.L",43.1416513846237,22.657688080356
"ets1.S",28.2077107505432,31.0286241031207
"nr4a2.S",27.1668147132375,43.8902503025077
"ikzf1.L",25.3895595634976,46.4573982012164
"tox2.S",24.3052931064756,34.7599158432355
"tox2.L",23.9953467974228,22.9733272780659
"ets1.L",22.1015109493718,17.9654568522456
"nme2.L",21.8060778269152,6.85962530407468
"rorc.L",20.8040553916768,13.9258115645844
"ikzf3.S",20.1189843509664,18.7627313022926
"gata3.S",18.4342775398077,14.5625520803156
"irf4.S",18.2648393732055,8.68455773363575
"smarce1.S",17.0069565731247,9.17157774945902
"atf4.L",15.0015138109077,7.94702150471059
"myef2.S",14.6975018234465,10.7770487534349
"atf4.S",13.9535185581002,11.6332560878674
"ssrp1.S",12.1830548658877,7.24177834476857
"nr4a2.L",11.1275307702051,17.66136173633
"satb1.L",10.8274688411067,9.65425923296484
"sfpq.S",10.5057621753462,8.23679381381551
"myef2.L",10.0042078866895,6.52614697241156
"batf.S",9.59044233949687,10.3101198517824
"batf.L",8.96337233663029,21.8246878080366
"gata3.L",8.89391693391814,9.7601405060935
"cnbp.S",8.57615928968956,5.36579026245311
"smarce1.L",7.98476082611224,5.46666611421197
"nfkb1.L",7.00886754531899,10.6993564857772
"znf326.S",7.00853185834883,6.50936313110397
"zfp36l2.S",6.99721915984203,4.53158111964303
"ubtf.L",6.92306729461897,3.70053064488062
"zfp36l1.L",6.40287341059905,4.35770600109265
"etv3.S",6.22477635438173,20.8671737455844
"khsrp.S",5.62223524472082,5.06353703445378
"zbtb18.S",5.44594368752569,7.7709106016166
"phb.L",5.24823400337305,2.81421267322206
"sfpq.L",5.22615905345847,6.81633113799909
"smarca5.S",5.19239123917129,6.40160120777664
"id2.L",5.02426990871779,4.72188952054777
"junb.L",4.96672164221729,2.88426329630138
"dnajc2.S",4.81219926401898,3.09667226482332
"id2.S",4.52111068890675,1.93547696528542
"nfyc.L",4.23363493519322,3.50945902112355
"bcl6.S",4.12648840928956,10.3508906220493
"runx3.L",3.93188103802387,8.66033399061643
"tcf12.L",3.63765378101382,3.68517354015453
"sub1.S",3.5977379607396,2.57126936900377
"smarcal1.L",3.49314121213041,4.11735296487001
"myc.L",3.32726515614558,2.25049111503978
"stat1.L",3.237789117518,4.2512372677473
"sub1.L",3.15673447565899,2.90048726642327
"ikzf2.L",3.00672618468526,3.03856818525174
"hmgb3.L",2.9763957950182,1.98015942875416
"pura.L",2.83813043893505,1.9426475527193
"bcl11b.L",2.71167261865156,0.51820493072917
"lyar.S",2.61124817446837,2.16463688276823
"id3.S",2.59455163952345,0.890969469067647
"bcl6.L",2.49807170123682,4.57645488423707
"myc.S",2.37067478023198,1.39856456713539
"cbfb.L",2.36786152320895,2.28635398377976
"rela.L",2.33831325966016,2.22292184237731
"nfatc3.S",2.29620853264951,4.00175415062255
"spib.S",2.26581260054836,0.118588607174857
"zmiz2.S",2.25691460092425,2.42236479142772
"smarcc1.L",2.25537868626248,1.74623062150314
"runx1.L",2.18760398873841,2.00461046061082
"gmeb1.S",2.09388462514161,0.80452074095534
"smarca5.L",2.0661186026384,2.46480190895149
"arid2.L",2.06145004120528,1.49080801748723
"satb1.S",2.05910136266063,0.603605162139298
"zhx1.S",2.02971013416721,2.07817566679732
"purb.S",1.89850993288828,1.3339664204936
"dnajc21.L",1.86997882711723,2.33379657990929
"klf2.L",1.83795230601798,1.0542625601349
"mbd3.S",1.83660928261714,1.29157190669472
"fosl2.L",1.83309991982035,2.59173724853653
"prdm2.L",1.73377085979631,1.59072707006581
"klf2.S",1.72161330531651,0.784867729339147
"nr1d1.L",1.72148919550025,1.59311378897648
"spib.L",1.71289146143222,0.816703940560727
"jund.S",1.69012308458534,1.57874435596771
"setdb1.L",1.67135484968428,2.40283921035727
"elf2.S",1.66466225948277,1.6903269165982
"yy1.S",1.64195368114842,2.76509657529925
"nfyc.S",1.6134571976801,1.85156753421909
"ctcf.L",1.57953890077929,1.26224601989936
"tcf3.S",1.57221680562483,1.2563075947059
"hes1.L",1.50822776321584,1.3477830879477
"cbfb.S",1.42510472732503,1.26252176744682
"arid3a.L",1.37664236375376,1.99463548362222
"ddit3.L",1.37512680239021,1.29736502379898
"tcf25.L",1.28687514688167,1.08101848814029
"mlx.L",1.27934645057905,0.921187171935148
"klf11.L",1.20279902503898,2.80599233256669
"sp3.L",1.19730571987883,1.01853584085485
"wdhd1.L",1.18648851793247,1.12504719340145
"yy1.L",1.17636542102221,0.883991353716503
"phb.S",1.15863075623527,0.462505307759526
"cdc5l.S",1.14543808853971,1.76799133480704
"sp3.S",1.12402914736978,1.03773536458786
"plscr1.L",1.12052747625694,1.15132499217496
"bcl11b.S",1.11893131576109,0.585687272597047
"pias1.L",1.0703414857163,2.6291130408173
"nfe2l1.L",1.06815597507794,1.92510845371253
"cebpz.L",1.05084650044586,0.967215757812266
"zfp36l1.S",1.0202590524647,0.435104209287241
"nfe2l1.S",0.950861392193084,2.35585655678993
"baz2a.L",0.950766320315792,1.01248495924096
"rel.S",0.934102239581103,1.85514114577654
"arid3a.S",0.919612940370293,1.07689175090926
"ubtf.S",0.866220927567108,1.171513072293
"znf326.L",0.863666729204768,1.22000235411382
"jarid2.L",0.827932547726313,1.33122199592675
"lef1.S",0.815398748520298,1.77437515235467
"ncor1.L",0.812838471882223,1.10041803645185
"srebf1.S",0.771238323894727,1.24682580068084
"litaf.L",0.768093832288192,1.97646138140733
"nfe2l2.L",0.756619000347505,1.10216828503976
"e2f3.L",0.754042886390543,3.63330352357874
"e2f1.L",0.739745253458697,1.9565768744462
"zhx2.S",0.728868878012286,1.31379943692182
"foxk2.L",0.666748717708739,0.47377732491297
"hif1a.S",0.646652421585282,1.23061542721202
"tef.S",0.560413474868405,1.62934853161945
"sp4.S",0.541788144845291,1.18648495230123
"sp1.L",0.498577879378313,1.05472429205086
"runx3.S",0.497802978993619,2.51504808188056
"tmf1.S",0.466607138174503,0.585891234164328
"znf292.S",0.399168076123896,1.31892285881959
"nfkb1.S",0.358792103466038,1.20536219422301
"runx2.S",0.320408184401993,1.10219390396136
"hhex.L",0.302546292882792,1.03324736585233
"lyl1.S",0.293656428033047,1.25842047773853
"blzf1.S",0,1.40036719824638
"crebl2.L",0,1.13783233637662
"dach1.L",0,0
"dach1.S",0,0
"esrrg.L",0,0
"esrrg.S",0,0
