"","NF48_NF54","NF54_NF66"
"pou2f3.S",120.797233073343,0
"myt1.L",11.1084719128602,1.00898999565596
"ascl2.L",9.04739367363731,0
"prox1.S",3.33536014025672,0
"atf5.L",3.197428724628,102.323348463178
"pax1.S",2.21115897345445,0
"six1.L",1.7786808862935,0
"cc2d1a.L",1.62711120172629,0.750922530068593
"arid3a.S",1.29786588252383,0.36906296073117
"sox3.L",1.16907456337043,0
"pknox2.L",0.404233754249018,2.2290503131681
"myef2.L",0.303698172233292,1.79789479877093
"mef2a.S",0.228354793973564,1.99786672336573
"tmf1.S",0.170091634463479,1.08213324100911
"bclaf1.S",0.0602127669516293,2.04506685022399
"zbtb18.S",0.0576416198001305,2.60172290799778
"dach1.L",0.0393071023942796,0
"nfatc1.S",0.0353066120708207,1.23324629117625
"nme2.L",0.0290374818878442,0
"gata3.L",0.0207365037402887,0
"kank1.L",0.0117490373357067,0
"aff1.L",0,1.0783179047053
"bcl11b.L",0,5.48918784906298
"bcl11b.S",0,1.93483010163169
"carhsp1.L",0,8.70983184139228
"ebf2.L",0,87.0599490024132
"ebf2.S",0,144.442677344973
"ebf3.S",0,4.54340742172349
"emx2.L",0,6.75310419484571
"fezf1.L",0,6.45398981183549
"foxj1.L",0,1.55072338003706
"foxj1.S",0,9.60058554885138
"foxo6.L",0,8.31537879342933
"ikzf2.L",0,1.32500569952867
"lhx2.L",0,12.3109794482056
"lhx2.S",0,2.04406840651338
"nhlh1.L",0,185.798019528729
"nhlh1.S",0,10.3287549931702
"olig2.S",0,3.15243864499057
"tfam.L",0,1.09935926677541
"tub.L",0,41.8405783954132
"tub.S",0,28.8445251899661
"zbtb18.L",0,1.60962695401274
"dach1.S",0,0
"ddit3.L",0,0.929370055551824
"esrrg.L",0,0
"esrrg.S",0,0
"foxi1.L",0,0
"foxi1.S",0,0
"foxk2.L",0,0
"gata3.S",0,0
"hnf1b.L",0,0
"hoxb7.L",0,0
"hoxb7.S",0,0
"hoxd3.S",0,0
"hoxd8.L",0,0
"hoxd9.L",0,0
"hoxd9.S",0,0
"lhx1.S",0,0
"mecom.L",0,0
"myb.S",0,0
"nfyc.S",0,0
"nr1i2.L",0,0
"pax2.L",0,0
"pax2.S",0,0
"phb.S",0,0
"pias2.L",0,0
"pou3f4.L",0,0
"pou3f4.S",0,0
"tbx2.L",0,0
"tfap2a.L",0,0
