"","NF54_NF59","NF59_NF66"
"atf4.L",13.8712294876803,7.67444627108441
"atf4.S",12.5771410142075,6.84608196565464
"fosl1.L",12.343179502273,1.96242235604429
"ddit3.L",11.520395896382,1.93292147006266
"junb.L",11.4618251450028,5.30765859090712
"cebpd.S",11.2091904563928,2.34736782390319
"nme2.L",9.47666545809285,3.21790473625803
"jun.L",9.01710186405579,4.55163797100064
"jund.S",8.87483885591345,1.5393724690767
"nfe2l2.L",6.05184589896463,2.23016782337266
"foxp4.S",5.8037555387763,0.312993354658758
"fos.S",5.55364568549714,2.41741252348541
"klf10.S",5.09382660427295,1.75491707775935
"fosl1.S",4.87522326035389,1.82412335459431
"cebpd.L",4.82365175910483,2.01303371021793
"ssrp1.S",4.62691983750665,1.37406026433724
"egr1.L",4.58343817608982,1.00841051857797
"jun.S",4.45933177258775,2.00291058636163
"tef.S",4.44135465146285,0.356524819589951
"rfx1.S",4.18857582922793,1.44059292153915
"mecom.L",3.98990049402311,0
"jund.L",3.81464759746947,1.18685755455976
"myef2.L",3.75221484904181,0.812128176784365
"fosl2.L",3.70312268978193,0.57118536484777
"foxk2.L",3.59372977774332,0.283164011213324
"myrf.L",3.56339041634424,0
"cebpz.L",3.53706846539587,0.490598710459244
"tfe3.S",3.4272466363136,3.71836917262467
"atf3.L",2.86758252951826,0.867451666232078
"nr1d1.L",2.79112310059829,6.21890929392712
"erf.L",2.73074815793349,0.831582335824728
"junb.S",2.70210790746752,1.02804685703294
"sfpq.S",2.63583262852652,1.43665056303437
"bhlhe40.L",2.49319313000287,12.2011916292829
"plscr1.L",2.45075479096271,1.776946305779
"cnbp.S",2.38355816406703,0.995511549140118
"srebf1.S",2.25686794593239,0.826773110995579
"zfp36.S",2.21114868190037,3.03628684460444
"egr1.S",2.21113736739161,0.573133076861153
"znf326.S",2.15155821445667,0.328564152503607
"nr4a2.L",2.10675126178296,8.68360068055242
"smarce1.S",2.00841623298469,0.981581369270663
"tcf25.L",1.93252523996864,0.512729903736306
"hif1a.L",1.90518384262226,0.690920794881333
"zfp36l2.S",1.88288959389617,0.0664756918083843
"rela.L",1.86670016187735,1.18353125045222
"hif1a.S",1.73900255673106,0.25833599281026
"fos.L",1.73895444800629,0.795304069927599
"nr4a2.S",1.70194460314454,0.995976950118827
"irf1.L",1.69827567466057,0.871660487381761
"rxra.L",1.66985422740143,0.00300718863252316
"etv3.S",1.66378693062203,3.52053426507352
"zmiz2.S",1.6276460263207,1.29413439233402
"zfhx3.S",1.58188879496719,0
"hmgb2.S",1.52504267716513,0.87864727677626
"tef.L",1.47262892313373,0.00421893103897399
"maff.L",1.44051662681747,1.29248920662011
"znf277.L",1.41033735353892,0.367344530872337
"id3.S",1.31789207705248,0.0718047470505141
"sfpq.L",1.25194548784361,0.774378983880056
"dnajc21.L",1.22425418329232,0.473348966772065
"tcf3.S",1.21925346865302,0.121883758484789
"klf11.L",1.21246961416687,1.6043493786147
"ets2.L",1.14304681029026,2.50692194977889
"bhlhe40.S",1.12482014343482,3.76074825360414
"smarce1.L",1.12309889877722,0.646186942200483
"id3.L",1.1223547040122,0.00518609446497612
"smad2.L",1.07940234199143,0.504186371996049
"khsrp.S",1.03570559950287,0.194969718952009
"id2.S",1.03246714250217,0.164922570327403
"fosl2.S",1.01055577885658,1.01881945602091
"tmf1.L",0.932699186194244,1.03787253285236
"tmf1.S",0.710763947020628,0.316183197955879
"maff.S",0.526694356277106,1.43517208876229
"creb3.S",0.435318367010896,1.94302194498962
"phb.S",0.375429435322197,0.737788753218195
"atf6b.L",0,5.72034555900851
"creb3l4.L",0,2.18005596207065
"creb3l4.S",0,1.50327919262699
"foxa1.L",0,14.5823843061699
"foxa1.S",0,18.8066279160354
"grhl2.L",0,4.89634039204025
"klf4.S",0,1.72390207364968
"znf143.L",0,2.05385902401009
"dach1.L",0,0
"dach1.S",0,0
"esrrg.L",0,0
"esrrg.S",0,0
"foxi1.L",0,0
"foxi1.S",0,0
"gata3.L",0,0
"gata3.S",0,0
"hnf1b.L",0,0
"hoxb7.L",0,0
"hoxb7.S",0,0
"hoxd3.S",0,0
"hoxd8.L",0,0
"hoxd9.L",0,0
"hoxd9.S",0,0
"kank1.L",0,0
"lhx1.S",0,0
"myb.S",0,0
"nfyc.S",0,0
"nr1i2.L",0,0
"pax2.L",0,0
"pax2.S",0,0
"pias2.L",0,0
"pou3f4.L",0,0
"pou3f4.S",0,0
"tbx2.L",0,0
"tfap2a.L",0,0
