Cell	Celltype	JSD
adnp.L	Acinar cell	0.9881139455603456
adnp.L	B cell	0.9948804631497525
adnp.L	Chondrocyte	0.9364152022726319
adnp.L	Collecting duct intercalated cell	0.987269973190168
adnp.L	Cone photoreceptor	0.9855541317545424
adnp.L	Endocrine cell	0.9788203092244016
adnp.L	Endothelial cell	0.977508304071542
adnp.L	Eosinophil	0.9579885939426471
adnp.L	Epidermal stem cell	0.9729223222656216
adnp.L	Epithelial cell	0.9647767669072885
adnp.L	Erythrocyte	0.978340874686096
adnp.L	Fast skeletal muscle cell	0.9911493804038789
adnp.L	Fibroblast	0.9279153821354674
adnp.L	Hepatocyte	0.9894777448183694
adnp.L	Lens fiber cell	0.9975873529320374
adnp.L	Macrophage	0.958592932752039
adnp.L	Melanocyte	0.966766826797095
adnp.L	Muscle satellite cell	0.9576768904779839
adnp.L	Neuron	0.9399576800162347
adnp.L	Oligodendrocyte	0.9914187958085261
adnp.L	Proximal tubule cell	0.9886694150741966
adnp.L	Radial glia	0.9484404361070682
adnp.L	Retinal pigment epithelial cell	0.9832463762101751
adnp.L	Secretory cell	0.991860570479563
adnp.L	Stromal cell	0.9602842971128971
adnp.L	Taste cell	0.9885430639961374
adnp.L	Umbrella cell	0.9422253562259549
adnp2.L	Acinar cell	0.9948990073780596
adnp2.L	B cell	0.992162114485611
adnp2.L	Chondrocyte	0.9659570521916525
adnp2.L	Collecting duct intercalated cell	0.9970477048699067
adnp2.L	Cone photoreceptor	0.9857209834247389
adnp2.L	Endocrine cell	0.9849653843220278
adnp2.L	Endothelial cell	0.9839766807831019
adnp2.L	Eosinophil	0.9917650487835552
adnp2.L	Epidermal stem cell	0.9816140882469999
adnp2.L	Epithelial cell	0.9773100082957883
adnp2.L	Erythrocyte	0.9912905269231378
adnp2.L	Fast skeletal muscle cell	0.9919090162465904
adnp2.L	Fibroblast	0.958923840255344
adnp2.L	Hepatocyte	0.9978900144372677
adnp2.L	Lens fiber cell	0.997568308644917
adnp2.L	Macrophage	0.9843671817993438
adnp2.L	Melanocyte	0.9720877351242113
adnp2.L	Muscle satellite cell	0.9771234424786613
adnp2.L	Neuron	0.9464734733731419
adnp2.L	Oligodendrocyte	0.9966897130726249
adnp2.L	Proximal tubule cell	0.9959649838915059
adnp2.L	Radial glia	0.9652512987757308
adnp2.L	Retinal pigment epithelial cell	0.9848218469911265
adnp2.L	Secretory cell	0.9943038251386944
adnp2.L	Stromal cell	0.9789343669705108
adnp2.L	Taste cell	0.9861262717748099
adnp2.L	Umbrella cell	0.9753263876360987
aff1.L	Acinar cell	0.9601429526665866
aff1.L	B cell	1.0000000298294587
aff1.L	Chondrocyte	0.9922280761079408
aff1.L	Collecting duct intercalated cell	0.9964298231217904
aff1.L	Cone photoreceptor	0.9947159764469959
aff1.L	Endocrine cell	0.9739565576024688
aff1.L	Endothelial cell	0.9967666700800077
aff1.L	Eosinophil	0.9938228079541349
