Cell	Celltype	JSDR
adnp.L	Acinar cell	0.0005972077379740037
adnp.L	Antigen presentation cell	0.006724746153351502
adnp.L	B cell	0.005047909418646079
adnp.L	Cardiomyocytes	0.00919935676763306
adnp.L	Chondrocyte	0.014605349466571327
adnp.L	Ciliated cell	0.0038793689483024307
adnp.L	Collecting duct intercalated cell	0.009013898335588189
adnp.L	Endocrine cell	0.018592984105404775
adnp.L	Endothelial cell	0.013591576143557549
adnp.L	Enterocyte	0.02690018917326109
adnp.L	Eosinophil	0.01657633573444872
adnp.L	Epidermal stem cell	0.024982711440053706
adnp.L	Epithelial cell	0.029103113636502087
adnp.L	Erythrocyte	0.013796708366737076
adnp.L	Fast skeletal muscle cell	0.002075050906612197
adnp.L	Fibroblast	0.021239596946400874
adnp.L	Hepatocyte	0.0032846518604768837
adnp.L	Macrophage	0.014863004050205464
adnp.L	Melanocyte	0.006095822402771511
adnp.L	Muscle satellite cell	0.005853855511119499
adnp.L	Neuron	0.008083300489146406
adnp.L	Oligodendrocyte	0.008788529636979403
adnp.L	Osteoclast	0.0015407950133193848
adnp.L	Pit cell	0.007613085762058214
adnp.L	Proximal tubule cell	0.009645335349552475
adnp.L	Smooth muscle cell	0.013031903813381818
adnp.L	Stomach parietal cell	0.004719738192667355
adnp.L	Stromal cell	0.010060127247244477
adnp.L	T cell	0.022783519161753807
adnp.L	Taste cell	0.008295441167591955
adnp.L	Thick Ascending Limb	0.0037551593247784343
adnp.L	Unknown	0.007285738645381068
adnp2.L	Acinar cell	-1.3437971624341571e-08
adnp2.L	Antigen presentation cell	0.0069185797987730835
adnp2.L	B cell	0.006372445237245672
adnp2.L	Cardiomyocytes	0.0008328987992642922
adnp2.L	Chondrocyte	0.009094282614891869
adnp2.L	Ciliated cell	0.0034677061228656214
adnp2.L	Collecting duct intercalated cell	0.002880792514723618
adnp2.L	Endocrine cell	0.015013943214286618
adnp2.L	Endothelial cell	0.008841892091085657
adnp2.L	Enterocyte	0.004331869889986462
adnp2.L	Eosinophil	0.004133760889212579
adnp2.L	Epidermal stem cell	0.010899902306077514
adnp2.L	Epithelial cell	0.018987087712607265
adnp2.L	Erythrocyte	0.0019459706941440391
adnp2.L	Fast skeletal muscle cell	-1.3438059776049727e-08
adnp2.L	Fibroblast	0.009679670922249528
adnp2.L	Hepatocyte	-1.3436101342634288e-08
adnp2.L	Macrophage	0.0024484259855754864
adnp2.L	Melanocyte	0.004292161483992141
